# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 18 points, for different energy ranges (Erange)
# Grid-points: 18.  N Eranges: 24

# Column1: Time    column2: weight

Erange 0.0000 39.8107

0.0065047076        0.0167274166
0.0345763845        0.0396320790
0.0863605589        0.0643278044
0.1642436820        0.0920726670
0.2720827763        0.1245689089
0.4157314705        0.1641431838
0.6037727277        0.2139629827
0.8484615472        0.2782357701
1.1668574435        0.3623970743
1.5821748449        0.4733813406
2.1255130141        0.6201412070
2.8383150331        0.8146289485
3.7761844897        1.0736246942
5.0153178459        1.4223973564
6.6645553124        1.9030598837
8.8915509813        2.5972903740
11.9933512287        3.7067955625
16.6764703424        6.0309875385

Erange 39.8107 63.0957

0.0041722274        0.0107351233
0.0222307290        0.0255564508
0.0557735799        0.0418565820
0.1068018040        0.0607451424
0.1786412823        0.0837875902
0.2764899558        0.1131972225
0.4081654524        0.1520293699
0.5850289260        0.2043411997
0.8230733480        0.2753797327
1.1442695864        0.3719329030
1.5783977765        0.5029671890
2.1657119063        0.6806881808
2.9610030185        0.9223683600
4.0402315706        1.2539117965
5.5126167119        1.7179680620
7.5464674378        2.3960872497
10.4384200068        3.4874681328
14.8878794521        5.7769132915

Erange 63.0957 100.0000

0.0031306057        0.0080582510
0.0167097480        0.0192509609
0.0420603753        0.0317394428
0.0809539653        0.0465387250
0.1363909679        0.0651190143
0.2131477981        0.0895940655
0.3185096464        0.1228924837
0.4631573414        0.1689031535
0.6622260350        0.2326964879
0.9366779620        0.3209482712
1.3152330549        0.4426422427
1.8371818863        0.6101629541
2.5566133546        0.8411236798
3.5491924579        1.1618888828
4.9243156649        1.6155610055
6.8507976282        2.2838110398
9.6253893619        3.3646504592
13.9441065436        5.6350170315

Erange 100.0000 158.4893

0.0017784976        0.0045820369
0.0095305033        0.0110339171
0.0241715764        0.0184719163
0.0470787134        0.0277374294
0.0806744955        0.0401072366
0.1289443167        0.0574545179
0.1980991784        0.0823776590
0.2973741997        0.1183640886
0.4400631372        0.1701154914
0.6449848393        0.2440891501
0.9386073149        0.3492807527
1.3581198602        0.4983722613
1.9559668798        0.7095962619
2.8069438671        1.0102346423
4.0205781847        1.4444207814
5.7666962939        2.0944104185
8.3428178610        3.1566548553
12.4402956710        5.3953896204

Erange 100.0000 251.1886

0.0012731021        0.0032819955
0.0068408899        0.0079468793
0.0174418712        0.0134463067
0.0342567627        0.0205292847
0.0594095603        0.0303582078
0.0964524637        0.0446469182
0.1509745874        0.0657772653
0.2313566176        0.0969972856
0.3498108077        0.1428023535
0.5239021242        0.2095165425
0.7787609548        0.3061070498
1.1502794202        0.4453729615
1.6898140334        0.6458550254
2.4714863686        0.9353531014
3.6047494209        1.3586573520
5.2599772757        1.9985335334
7.7353545752        3.0509031140
11.7204273208        5.2738872948

Erange 251.1886 398.1072

0.0010030076        0.0025869659
0.0054011929        0.0062911966
0.0138290060        0.0107351937
0.0273431384        0.0166070638
0.0478739878        0.0249888153
0.0786830586        0.0374779892
0.1249328308        0.0563035562
0.1944173562        0.0845522551
0.2986096721        0.1265793380
0.4542136973        0.1886080979
0.6854260122        0.2795655359
1.0272086576        0.4123050051
1.5301066611        0.6055566518
2.2676993472        0.8874705225
3.3493180374        1.3033133510
4.9456886302        1.9362701532
7.3555254238        2.9820300811
11.2674173193        5.1948743744

Erange 398.1072 630.9573

0.0006292470        0.0016247092
0.0034047652        0.0039893994
0.0087998347        0.0069374055
0.0176636613        0.0110494736
0.0315919108        0.0172556556
0.0533250279        0.0269305189
0.0872499733        0.0420241387
0.1400989014        0.0653370029
0.2220074191        0.1009630577
0.3481020164        0.1549116725
0.5408282237        0.2359862840
0.8333481627        0.3570806030
1.2745678967        0.5372219913
1.9368869444        0.8051888647
2.9292459714        1.2071767417
4.4229488336        1.8272882687
6.7178167799        2.8610494958
10.5012007219        5.0562989441

Erange 630.9573 1000.0000

0.0004668842        0.0012064426
0.0025351832        0.0029835181
0.0065984217        0.0052614499
0.0133946637        0.0085599069
0.0243333257        0.0137168167
0.0418555360        0.0219731076
0.0699004840        0.0351198350
0.1145900856        0.0557937273
0.1852868936        0.0879277307
0.2961886017        0.1373837724
0.4686822380        0.2128597956
0.7348065677        0.3272351253
1.1424023312        0.4996790920
1.7630505380        0.7593294859
2.7053476877        1.1529622794
4.1408869163        1.7653147148
6.3702167167        2.7919762112
10.0802468832        4.9772976246

Erange 1000.0000  1584.8932

0.0002609145        0.0006754356
0.0014284110        0.0016981110
0.0037793134        0.0030935620
0.0078755343        0.0052777001
0.0148187271        0.0089246777
0.0265443710        0.0150467301
0.0462373542        0.0251712972
0.0789916248        0.0416516502
0.1328484338        0.0681184703
0.2203793192        0.1101320672
0.3610645276        0.1761428878
0.5848529331        0.2789306706
0.9375236694        0.4378452603
1.4889766904        0.6826254816
2.3469686778        1.0611210798
