# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 14 points, for different energy ranges (Erange)
# Grid-points: 14.  N Eranges: 23

# Column1: Time    column2: weight

Erange 0.0000 10.0000

0.0237936690        0.0611672711
0.1262969465        0.1445085338
0.3146136034        0.2333087043
0.5959506166        0.3312553013
0.9817869160        0.4432467435
1.4893061716        0.5759071773
2.1434977756        0.7383746794
2.9801766485        0.9433758855
4.0503389263        1.2089176341
5.4269062114        1.5616549458
7.2168007000        2.0450074532
9.5870452772        2.7419850943
12.8357494149        3.8566755068
17.6753312546        6.1981813315

Erange 10.0000 15.8489

0.0169816642        0.0436764843
0.0903275498        0.1036202428
0.2258900214        0.1686129519
0.4304310095        0.2422818311
0.7149888745        0.3296217363
1.0965252424        0.4376054730
1.6002842943        0.5759638625
2.2629949541        0.7581137515
3.1372091996        1.0026174373
4.2978145261        1.3363743540
5.8537407167        1.8026148317
7.9734653507        2.4832977293
10.9544068995        3.5786612501
15.4993236149        5.8790633067

Erange 15.8489 25.1189

0.0119972526        0.0308743065
0.0639735360        0.0736138461
0.1607328068        0.1209192548
0.3084839990        0.1762894116
0.5176460378        0.2447353626
0.8046770125        0.3334443879
1.1946063310        0.4524878835
1.7242874128        0.6155970910
2.4466652263        0.8415625308
3.4372421876        1.1575185632
4.8058180424        1.6069457576
6.7218376735        2.2716047438
9.4826338752        3.3492956544
13.7842321234        5.6157341385

Erange 25.1189 39.8107

0.0084076681        0.0216511589
0.0449636994        0.0519267386
0.1135988127        0.0862556649
0.2199152900        0.1279584309
0.3735947871        0.1819750580
0.5903443786        0.2555243887
0.8944811045        0.3587034665
1.3221417879        0.5052195178
1.9255697207        0.7139586455
2.7798165137        1.0124827029
3.9948200990        1.4449804822
5.7408169122        2.0936661885
8.3156700660        3.1548999120
12.4109325959        5.3926769614

Erange 39.8107 63.0957

0.0058545394        0.0150881610
0.0314169341        0.0364360730
0.0798961491        0.0613313227
0.1562801892        0.0928838706
0.2694516528        0.1358762369
0.4341668678        0.1973630960
0.6735857092        0.2871909934
1.0224344459        0.4188526951
1.5314708133        0.6113456809
2.2746179259        0.8928419449
3.3615119894        1.3085276567
4.9630904952        1.9414929173
7.3782044923        2.9873859616
11.2956335062        5.2007139221

Erange 63.0957 100.0000

0.0040562245        0.0104630611
0.0218539742        0.0254712518
0.0560102454        0.0435516941
0.1109232899        0.0675857103
0.1946568562        0.1021182426
0.3208703328        0.1538700771
0.5112371968        0.2322649417
0.7986245426        0.3505246702
1.2318540903        0.5277975034
1.8833267668        0.7929346940
2.8620729079        1.1922412386
4.3396108414        1.8099472487
6.6160518775        2.8415520058
10.3786630825        5.0338617688

Erange 100.0000 158.4893

0.0027992651        0.0072283419
0.0151526724        0.0177636198
0.0391950273        0.0309408098
0.0787783513        0.0494041369
