# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 10 points, for different energy ranges (Erange)
# Grid-points: 10.  N Eranges: 17

# Column1: Frequency    column2: weight

Erange 0.0000 10.0000

 0.1691355148        1.3668906607
 0.5284642103        1.5376910384
 0.9545511712        1.9085090684
 1.5047418958        2.5454826105
 2.2597115867        3.5752953953
 3.3454936705        5.2519519792
 4.9862966533        8.1659529947
 7.6650093063       14.0412676455
12.7796542255       29.9635632405
27.2864801899      113.9616484063

Erange 10.0000 15.8489

 0.1869871309        1.5145800816
 0.5895532734        1.7471268103
 1.0837264945        2.2596684390
 1.7513396673        3.1585459584
 2.7113373418        4.6430693974
 4.1525884587        7.0975540441
 6.4085359717       11.3742847285
10.1783866742       19.8846971486
17.4346686857       42.4806155504
37.8980985815      160.1592266207

Erange 15.8489 25.1189

 0.2039012435        1.6555252147
 0.6490652017        1.9603894729
 1.2154617028        2.6446293317
 2.0166038170        3.8762047872
 3.2247481157        5.9706622921
 5.1221232176        9.5269596084
 8.2115606004       15.8207932390
13.5286265845       28.3038693397
23.9062720036       60.8180734764
53.0749019920      227.4291674840

Erange 25.1189 39.8107

 0.2197846533        1.7888580703
 0.7065505286        2.1753487613
 1.3486077979        3.0602200686
 2.2989288229        4.6997237882
 3.8011411937        7.5851738338
 6.2712402355       12.6573867842
10.4688111936       21.8802820911
17.9524987682       40.3268471471
32.8615723622       87.6674540565
74.7756485944      325.6244719695

Erange 39.8107 63.0957

 0.2345798814        1.9139752750
 0.7616286890        2.3897895577
 1.4819393774        3.5019870758
 2.5960041367        5.6263232572
 4.4395273750        9.5060791976
 7.6132328090       16.6038924441
13.2547497255       29.9855356851
23.7282493641       57.3029721670
45.1768950589      126.8976580308
105.7729144697      469.2686806990

Erange 63.0957 100.0000

 0.2482536529        2.0304531911
 0.8139632275        2.6013970433
 1.6141313956        3.9641872500
 2.9047396053        6.6485939097
 5.1362429079       11.7419410120
 9.1554123230       21.4685027041
16.6387607041       40.6082690439
31.1686645431       80.9391270348
61.9768886998      183.9854602052
149.9615921038      679.7576876444

Erange 100.0000 158.4893

 0.2607908294        2.1380068869
 0.8632543115        2.8077970259
 1.7437728168        4.4398923935
 3.2212681696        7.7541187058
 5.8845768915       14.2870761441
10.8968338183       27.3265015551
20.6769015469       54.2240770796
40.6046868363      113.2948851714
84.6611375087      266.5197317993
212.7577554170      988.5625903017

Erange 158.4893 251.1886

 0.2721910070        2.2364704739
 0.9092401123        3.0066299063
 1.8694056281        4.9212111209
 3.5410284304        8.9254361773
 6.6745887899       17.1186636963
12.8261352843       34.2107624288
25.4017665897       71.2590640537
52.3565960317      156.7050570892
14.9004634962      384.7086973640
01.5906626996     1441.8400381753

Erange 251.1886 398.1072

 0.2824662467        2.3257859337
 0.9517015585        3.1956386237
 1.9895783859        5.3996106180
 3.8589208809       10.1404334202
 7.4931804727       20.1948679410
14.9198304676       42.0958396184
30.8112476377       92.0186638519
66.6907415629      213.5940437865
154.5762908277      551.7262156926
426.4637399855     2106.9529901574

Erange 398.1072 630.9573

 0.2916392096        2.4059940349
 0.9904672599        3.3727551501
 2.1029049829        5.8663054109
 4.1695234368       11.3731912039
 8.3244617815       23.4545224341
17.1414352405       50.8843412073
36.8575879013      116.6036758550
83.7621447531      286.1519007076
205.6283870841      783.5924592643
600.5018496162     3081.4105583081

Erange 630.9573 1000.0000

 0.2997413607        2.4772242467
 1.0254167167        3.5361737282
 2.2081204281        6.3126700124
 4.4673434763       12.5952245841
 9.1504060805       26.8187423356
19.4417624082       60.3985505678
43.4386668156      144.8242009234
103.5471053219      375.8629062381
269.7738483758     1098.1153648547
840.2848331258     4504.3939223480

Erange 1000.0000 1584.8932

 0.3068109658        2.5396811556
 1.0564802087        3.6843998348
 2.3041249902        6.7306209763
 4.7470723881       13.7769658087
 9.9517267554       30.1944572496
21.7605318886       70.3798499898
50.3935721716      176.1269835985
125.7744579027      482.9151399022
348.0698561069     1512.2878117311
1165.5406450213     6569.5987208222

Erange 1584.8932 2511.8864

 0.3128903217        2.5936224144
 1.0836325633        3.8162582328
 2.3900037820        7.1128892249
 5.0037876383       14.8891958074
10.7087987937       33.4792001882
24.0290199661       80.4965089125
57.5035919858      209.5512828348
149.8665589334      605.5615595983
440.3163793218     2037.5442412574
1597.3324135008     9533.5081180067
Erange 2511.8864 3981.0717

 0.3180208381        2.6393159245
 1.1068742715        3.9308250303
 2.4649964188        7.4530427911
 5.2330020840       15.9038817881
11.4022590556       36.5653635629
26.1726545478       90.3558106515
64.4968153514      243.7153479877
174.8953978169      739.5086190322
544.3139194265     2672.4483472880
2152.9928502293    13699.9764933785

Erange 3981.0717 6309.5734

 0.3222327278        2.6769471895
 1.1261846760        4.0272041015
 2.5283617927        7.7449787333
 5.4303608672       16.7933831094
12.0125527722       39.3401336529
28.1109550492       99.5077313820
71.0481159543      276.7991732905
199.5351883274      877.2963089423
654.9414770847     3392.3506015066
2834.2166166353    19327.4793202639

Erange 6309.5734 10000.0000

 0.3255214101        2.7064058812
 1.1414100173        4.1039558322
 2.5790085497        7.9812493092
 5.5905435586       17.5258351705
12.5168740676       41.6731864918
29.7491494348      107.4104101562
76.7532744950      306.4111333723
221.9330386256     1007.2682411417
762.7629878613     4134.1841801288
3600.8832911895    26326.3790293712

Erange 10000.0000 10000000000000000000000.0

 0.3277882136        2.7267501544
