# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 20 points, for different energy ranges (Erange)
# Grid-points: 20.  N Eranges: 26

# Column1: Time    column2: weight

Erange 0.0000 39.8107

0.0042417726        0.0109070896
0.0225386312        0.0258215557
0.0562526546        0.0418492876
0.1068629789        0.0597626762
0.1767480303        0.0805983718
0.2694967566        0.1057617828
0.3903413742        0.1371550770
0.5467141953        0.1772939553
0.7489117852        0.2294077942
1.0108647946        0.2975609808
1.3510691399        0.3868670009
1.7938076281        0.5038662197
2.3708612715        0.6571437130
3.1240180105        0.8583463758
4.1089488325        1.1240021613
5.4016887174        1.4791765086
7.1107531861        1.9658740247
9.4034717553        2.6659270102
12.5770535750        3.7820372655
17.3406428377        6.1188680951

Erange 39.8107 63.0957

0.0037488236        0.0096407657
0.0199302931        0.0228488140
0.0497936793        0.0371079148
0.0947408260        0.0531595075
0.1570412819        0.0720091944
0.2401452883        0.0950337326
0.3491180665        0.1241065543
0.4911935249        0.1617080729
0.6764290683        0.2110214333
0.9184668187        0.2760608848
1.2354696723        0.3619046982
1.6513682763        0.4750930017
2.1976141031        0.6242574248
2.9157364131        0.8211393223
3.8612621563        1.0823985873
5.1102224591        1.4332424319
6.7712523855        1.9157658348
9.0118118124        2.6116952045
12.1288761753        3.7229736169
16.8294513682        6.0501925718

Erange 63.0957 100.0000

0.0028104368        0.0072298140
0.0149618879        0.0171819050
0.0374765159        0.0280490206
0.0715858114        0.0405021821
0.1193163993        0.0554742773
0.1838032798        0.0742694785
0.2697204816        0.0986795173
0.3838179390        0.1310787103
0.5355486564        0.1745173778
0.7378144250        0.2328776513
1.0079252586        0.3111526535
1.3689145349        0.4158840372
1.8513909727        0.5558129803
2.4962069757        0.7429022864
3.3584842423        0.9941284651
4.5141925841        1.3350562364
6.0722339966        1.8080475253
8.2004386149        2.4946869354
11.1954577499        3.5953762265
15.7599752082        5.9020687783

Erange 100.0000 158.4893

0.0015934091        0.0041019305
0.0085090495        0.0098090358
0.0214381325        0.0162026542
0.0413217924        0.0238266974
0.0697620860        0.0334742014
0.1093211047        0.0462892231
0.1639189491        0.0638565714
0.2393122306        0.0882787418
0.3436660043        0.1222980202
0.4882968915        0.1695231853
0.6887039383        0.2347790375
0.9660147447        0.3245925111
1.3490093267        0.4478790207
1.8769921238        0.6169920157
2.6040387411        0.8495175969
3.6057691429        1.1717832984
4.9914948533        1.6268516931
6.9299171690        2.2963863208
9.7177223945        3.3785361353
14.0512612734        5.6511332871

Erange 158.4893 251.1886

0.0011390450        0.0029336694
0.0060955201        0.0070451556
0.0154192503        0.0117321498
0.0299082652        0.0174722716
0.0509493519        0.0249801406
0.0808010692        0.0352990341
0.1229612993        0.0498753281
0.1826068734        0.0706377004
0.2671428194        0.1001477693
0.3869559666        0.1418601866
0.5564845870        0.2004950504
0.7957234718        0.2825435405
1.1323289033        0.3969798598
1.6046003100        0.5563410075
2.2658640493        0.7785426625
3.1913896822        1.0903727562
4.4906275471        1.5353838262
6.3328134368        2.1954643645
9.0149431195        3.2678296963
13.2306709449        5.5234111805

Erange 251.1886 398.1072

0.0008964304        0.0023096719
0.0048051192        0.0055650997
0.0121936516        0.0093269713
0.0237702271        0.0140298315
0.0407838827        0.0203348346
0.0652933285        0.0292125912
0.1005103312        0.0420091617
0.1512136515        0.0605323710
0.2242873430        0.0872222770
0.3294824759        0.1254275313
0.4805077191        0.1797882674
0.6965665705        0.2567550853
1.0045115923        0.3653220398
1.4418995293        0.5181328291
2.0614740828        0.7333190532
2.9381939984        1.0379927222
4.1815556891        1.4760781533
5.9611648673        2.1296885906
8.5743268969        3.1955233525
12.7131467808        5.4401334554

Erange 398.1072 630.9573

0.0005610726        0.0014468090
0.0030184720        0.0035116704
0.0077139213        0.0059696893
0.0152066640        0.0091809356
0.0265115695        0.0137085278
0.0433359502        0.0203834591
0.0683752104        0.0303625965
0.1056856628        0.0452360196
0.1612093855        0.0672262910
0.2435452043        0.0994809247
0.3650619735        0.1464691518
0.5434781501        0.2145280743
0.8040946724        0.3126410767
1.1829818386        0.4536033320
1.7316542057        0.6559174963
2.5243333830        0.9473055307
3.6704779200        1.3724504245
5.3403626576        2.0140282496
7.8320446783        3.0680352453
11.8353304831        5.2935687064

Erange 630.9573 1000.0000

0.0004156027        0.0010723356
0.0022418132        0.0026167012
0.0057588985        0.0044949702
0.0114471931        0.0070258282
0.0201937708        0.0107143956
0.0335073393        0.0163067312
0.0537858550        0.0248485875
0.0846696232        0.0378064355
0.1315592819        0.0572763850
0.2023856911        0.0862799247
0.3087265753        0.1291679767
0.4674017465        0.1921849155
0.7027456290        0.2842771588
1.0498697080        0.4182997388
1.5594566795        0.6129561237
2.3051800030        0.8963356884
3.3963892157        1.3136166868
5.0037385568        1.9479025694
7.4258328899        2.9949203773
11.3514236378        5.2096627614

Erange 1000.0000 1584.8932

0.0002313895        0.0005978420
0.0012557355        0.0014767719
0.0032646742        0.0025984483
0.0066152594        0.0042131885
0.0119877181        0.0067242773
0.0205587755        0.0107286659
0.0342247963        0.0170853686
0.0559267900        0.0270540197
0.0901510566        0.0425071646
0.1436819764        0.0662263969
0.2267075213        0.1023197348
0.3544262627        0.1568189134
0.5493766308        0.2385451540
0.8448259409        0.3603978524
1.2897823200        0.5413913490
1.9567226023        0.8102669927
2.9546156217        1.2131602745
4.4547286545        1.8341101331
6.7568053147        2.8686436013
10.5482558845        5.0649921231

Erange 1584.8932 2511.8864

0.0001641069        0.0004244011
0.0008943561        0.0010572759
0.0023447972        0.0018917250
0.0048157511        0.0031445443
0.0088884312        0.0051665275
0.0155765098        0.0084795438
0.0265296970        0.0138517864
0.0443454032        0.0224395660
0.0730554063        0.0359963272
0.1188619979        0.0571680680
0.1912297396        0.0899177024
0.3044906683        0.1401397578
0.4801957345        0.2165572880
0.7505652387        0.3320580632
1.1636170435        0.5057921888
1.7910716091        0.7668399326
2.7415868114        1.1618799561
4.1867092078        1.7755394744
6.4268615885        2.8033893736
10.1490122213        4.9903468977

Erange 2511.8864 3981.0717

0.0001285687        0.0003327412
0.0007030265        0.0008345346
0.0018556066        0.0015131489
0.0038520806        0.0025641220
0.0072119065        0.0043043087
0.0128460331        0.0072081394
0.0222490412        0.0119869143
0.0378016757        0.0197302601
0.0632460842        0.0321119534
0.1044083510        0.0516847785
0.1702784125        0.0823092471
0.2746109812        0.1297794545
0.4382883952        0.2027407217
0.6928091186        0.3140586398
1.0854928249        0.4829606978
1.6875078197        0.7387477920
2.6072590000        1.1284719745
4.0164561880        1.7371875880
6.2159994162        2.7605544548
9.8926638870        4.9413871443

Erange 3981.0717 6309.5734

0.0000799513        0.0002072595
0.0004404801        0.0005277432
0.0011804329        0.0009856825
0.0025097287        0.0017405680
0.0048453677        0.0030511859
0.0089268200        0.0053131152
0.0159901889        0.0091424956
0.0280527231        0.0155127984
0.0483635179        0.0259540846
0.0820972792        0.0428465752
0.1374079757        0.0698561346
0.2270158228        0.1125788629
0.3705833787        0.1794954999
0.5982657570        0.2834014651
0.9560512746        0.4436342657
1.5140162499        0.6898770637
2.3800124106        1.0698728983
3.7259889280        1.6695145014
5.8537470724        2.6847452179
9.4499152648        4.8548107905

Erange 6309.5734 10000.0000

0.0000590672        0.0001533089
0.0003272556        0.0003948029
0.0008870655        0.0007536795
0.0019193807        0.0013697121
0.0037865947        0.0024700706
0.0071366132        0.0044085541
0.0130675309        0.0077497213
0.0234003283        0.0134012766
0.0411132237        0.0228093811
0.0710164793        0.0382511320
0.1207879404        0.0632731385
0.2025481367        0.1033460602
0.3352395393        0.1668399258
0.5482082740        0.2664906250
0.8866215227        0.4216811064
1.4198584985        0.6623068297
2.2553865435        1.0365236624
3.5652577795        1.6307550398
5.6518213614        2.6411851424
9.2017372708        4.8051033473

Erange 10000.0000 15848.9319

0.0000328224        0.0000854354
0.0001842802        0.0002259442
0.0005131298        0.0004534408
0.0011553396        0.0008756623
0.0023871523        0.0016695331
0.0047123234        0.0031234055
0.0090106836        0.0057177071
0.0167877455        0.0102484381
0.0305777353        0.0180155533
0.0545820242        0.0311124892
0.0956682634        0.0528682739
0.1649179423        0.0885173771
0.2800025693        0.1462102027
0.4688114689        0.2385443005
0.7749976991        0.3849458197
1.2666117185        0.6156579968
2.0503316328        0.9795718925
3.2983146221        1.5641128248
5.3139000783        2.5660251129
8.7840079257        4.7193983133

Erange 15848.9319 25118.8643

0.0000232962        0.0000607636
0.0001320560        0.0001637936
0.0003748400        0.0003401749
0.0008670180        0.0006823060
0.0018448087        0.0013438522
0.0037452034        0.0025827357
0.0073459255        0.0048383067
0.0140019747        0.0088501159
0.0260313283        0.0158425745
0.0473329996        0.0278122580
0.0843648984        0.0479708046
0.1476735912        0.0814215631
0.2542643419        0.1361875066
0.4312479421        0.2247763824
0.7214499968        0.3666172695
1.1921724791        0.5921206829
1.9496202227        0.9505653584
3.1659629224        1.5299354640
5.1450686884        2.5273395599
8.5740952572        4.6753131195

Erange 25118.8643 39810.7171

0.0000182769        0.0000477511
0.0001044173        0.0001307253
0.0003010010        0.0002788397
0.0007108478        0.0005749659
0.0015457136        0.0011586413
0.0032018186        0.0022690307
0.0063939724        0.0043194162
0.0123832469        0.0080129211
0.0233510010        0.0145246256
0.0430030600        0.0257871125
0.0775327409        0.0449334653
0.1371376079        0.0769779065
0.2383837172        0.1298547686
0.4078629678        0.2160059583
0.6878424945        0.3548547440
1.1451105981        0.5769157833
1.8855365450        0.9317238562
3.0812809654        1.5076443958
5.0365633935        2.5020534640
8.4387360358        4.6465070166

Erange 39810.7171 63095.7344

0.0000114207        0.0000299538
0.0000664484        0.0000849805
