# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 6 points, for different energy ranges (Erange)
# Grid-points: 6.  N Eranges: 15

# Column1: Frequency    column2: weight

Erange 0.0000 1.5849

0.1655921867        1.3401638713
0.5209012738        1.5400337898
0.9601309570        2.0411136351
1.5943859351        3.2041471532
2.7306701362        6.5559125299
5.8749472842       24.6121737551

Erange 1.5849 2.5119

0.1805946879        1.4635311372
0.5710657016        1.7055984374
1.0624914384        2.3046948367
1.7847101379        3.6698898394
3.0902608916        7.5400592040
6.7008049407       28.2207230583

Erange 2.5119 3.9811

0.2107412898        1.7139468304
0.6758353424        2.0738226990
1.2899365007        2.9513967252
2.2366556977        4.8904040401
3.9937219129       10.1860694763
8.8543593569       37.8508588547

Erange 3.9811 6.3096

0.2398913915        1.9596996480
0.7830273741        2.4836800649
1.5440300762        3.7694559783
2.7906304931        6.5827110827
5.1927614407       14.0252417135
11.8692704652       51.7797976822

Erange 6.3096 10.0000

0.2673892983        2.1951893655
0.8903650428        2.9286522466
1.8225708515        4.7734604255
3.4589903359        8.8733892320
6.7690150328       19.5515007107
16.0814892391       71.9693768115

Erange 10.0000 15.8489

0.2928309791        2.4165646895
0.9958642183        3.3998788006
2.1219318882        5.9661197698
4.2497817154       11.8870067034
8.8133486370       27.4128565874
21.9427374532      101.2750193999


Erange 15.8489 25.1189

0.3159877346        2.6212358237
1.0977576875        3.8866493549
2.4369534500        7.3360319179
5.1642537452       15.7267905444
11.4185878867       38.4150559937
30.0488928270      143.8410766423

Erange 25.1189 39.8107

0.3367465699        2.8074851077
1.1944388989        4.3769006451
2.7609613838        8.8564716568
6.1944061883       20.4498450272
14.6663452364       53.4810486242
41.1631772657      205.6359685470

Erange 39.8107 63.0957

0.3550728269        2.9742330188
1.2844528796        4.8578159667
3.0859658208       10.4854969243
7.3210405275       26.0403084425
18.6070113241       73.5352436898
56.2194168750      295.1237558425

Erange 63.0957 100.0000

0.3709877153        3.1209095741
1.3665230999        5.3165482730
3.4030538180       12.1676986105
8.5128437088       32.3858273603
23.2337294933       99.2850884506
76.2759655370      423.9548576998

Erange 100.0000 158.4893

0.3845515600        3.2473560599
1.4395817104        5.7409373573
3.7029023900       13.8375029511
9.7268226520       39.2629777670
28.4534055091      130.8932491599
102.3628470217      607.1930480352

Erange 158.4893 251.1886

0.3958434305        3.3536721533
1.5027520411        6.1199013844
3.9761855968       15.4228289928
10.9096324549       46.3330855952
34.0580373848      167.5611866293
135.1079781755      861.5529201793

Erange 251.1886 398.1072

0.4049246607        3.4398887923
1.5552016328        6.4429239963
4.2134089372       16.8459810252
11.9977032386       53.1379836712
39.6930350498      207.0327620398
173.9106681833     1197.5120477477

Erange 398.1072 630.9573

0.4117629031        3.5052416094
1.5957145113        6.6975843684
4.4032949099       18.0156013389
12.9112278362       59.0626689476
44.7999640048      244.8998153734
215.2118480052     1595.9350857795

Erange 630.9573 10000000000000000000000.0

0.4160591000        3.5464930621
1.6216313404        6.8628344003
4.5278976696       18.7974701181
13.5318851954       63.1939708452
48.4757858418      273.3210071555
249.2365036163     1955.6415420879


