# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 16 points, for different energy ranges (Erange)
# Grid-points: 16.  N Eranges: 24

# Column1: Frequency    column2: weight

Erange 0.0000 15.8489

0.1273597888        1.0246648341
0.3908322550        1.0951767927
0.6813021432        1.2421481551
1.0192892087        1.4779641290
1.4293288265        1.8226396008
1.9421379345        2.3061191552
2.5975667202        2.9724368919
3.4489766302        3.8873619196
4.5703257678        5.1533641495
6.0688028134        6.9414710066
8.1099019529        9.5656944380
10.9733549246       13.6765873210
15.1958405946       20.8406034873
22.0058528799       35.6783196721
35.0759121714       77.0550215036
72.8094628472      298.5129777431

Erange 15.8489 25.1189

0.1331595270        1.0718983936
0.4095035535        1.1527114540
0.7168494344        1.3218010112
1.0790306077        1.5947247337
1.5249292485        1.9966677595
2.0912126955        2.5653649507
2.8260564739        3.3562680023
3.7946140852        4.4518018728
5.0877245998        5.9791083585
6.8371519480        8.1474004653
9.2453943520       11.3351541897
12.6517414469       16.3180315731
17.7008876040       24.9551685378
25.8584347474       42.7307755880
41.4933732852       92.0679379493
86.4939708463      355.6068720959

Erange 25.1189 39.8107

0.1445412618        1.1648263322
0.4465085214        1.2688432934
0.7885504964        1.4883228113
1.2022481209        1.8472371083
1.7269950258        2.3847198124
2.4143470278        3.1599987446
3.3340058770        4.2608010133
4.5825704962        5.8176830445
6.2971577833        8.0301154772
8.6784001076       11.2192639931
12.0337878072       15.9490681301
16.8713716496       23.3437073556
24.1373095020       36.0551279734
35.9456110555       61.8814314444
58.5447230568      132.7888756811
123.1954916997      509.6665804543

Erange 39.8107 63.0957

0.1554388165        1.2541123976
0.4824251373        1.3843598662
0.8598245215        1.6616886559
1.3284223164        2.1216098273
1.9406521788        2.8228365632
2.7673535879        3.8557095280
3.9072973879        5.3563078622
5.5012870058        7.5297847372
7.7540031477       10.6909613245
10.9700248596       15.3423336588
15.6192023562       22.3461037893
22.4728451096       33.3688933101
32.9419906030       52.2462182805
50.1151437214       90.1485357852
83.0049195005      192.9194785153
176.5601375201      735.6463589267

Erange 63.0957 100.0000

0.1658239396        1.3395057496
0.5171334562        1.4987427991
0.9303765239        1.8410316183
1.4570328475        2.4170444899
2.1653334704        3.3118542286
3.1504620332        4.6590364260
4.5493919965        6.6643006998
6.5633644119        9.6442870168
9.4930924836       14.0924381090
13.7964445656       20.8000831398
20.1903561433       31.1099377099
29.8547470228       47.5485442408
44.9220773087       75.7539180228
69.9612025672      131.8550455067
118.0768558650      281.9138329652
254.2595420172     1067.9597935073

Erange 100.0000 158.4893

0.1756761595        1.4208126891
0.5505286518        1.6114612898
0.9999037318        2.0252895002
1.5874614146        2.7321798644
2.4001627967        3.8514474901
3.5632129966        5.5746510823
5.2625518263        8.2042888156
7.7799335176       12.2179930671
11.5490759025       18.3773308391
17.2485237779       27.9230048845
25.9640438451       42.9645540890
39.5031280951       67.4039800575
61.1190941492      109.6780457308
97.6505090874      193.2955349682
168.3048603665      413.8511622055
367.4931700895     1557.7282337642

Erange 158.4893 251.1886

0.1849810144        1.4978835204
0.5825170816        1.7219688991
1.0680919394        2.2132075808
1.7189859907        3.0650607085
2.6439264344        4.4399480367
4.0043404658        6.6047701079
6.0474794955        9.9923281391
9.1597606865       15.3054117231
13.9545822300       23.6958570109
21.4206003005       37.0850596486
33.1825901670       58.7852243162
51.9978398425       94.8959999531
82.8541497359      158.2659861600
136.0932112896      283.5520195270
240.0959182851      609.6549922147
532.5788546477     2280.9309877308

Erange 251.1886 398.1072

0.1937291539        1.5706065609
0.6130152828        1.8297103538
1.1346182332        2.4033602117
1.8507881367        3.4131427785
2.8950688629        5.0742168977
4.4716908947        7.7485973792
6.9029838434       12.0394139635
10.7082757662       18.9550564227
16.7379345351       30.1987341614
26.4061096473       48.6945175811
42.1079313203       79.5993558182
68.0128805319      132.4899971872
111.7694174550      227.2267493880
189.1425912709      415.5782752078
342.4123896734      900.3178320607
773.2294239612     3350.5197586168

Erange 398.1072 630.9573

0.2019158046        1.6389051516
0.6419502451        1.9341332002
1.1991570298        2.5941854650
1.9819692112        3.7733320282
3.1517101679        5.7495852951
4.9621842474        9.0018516994
7.8256987501       14.3498347886
12.4265830891       23.2050935685
19.9204891715       38.0277104825
32.2917003483       63.1776787592
53.0114135859      106.5716285356
88.3074175025      183.1983206226
149.8575549313      324.0629451879
261.8138047320      607.5873494961
487.6695796132     1331.5252764022
1123.7856229865     4934.4016353584

Erange 630.9573 1000.0000

0.2095403672        1.7027356913
0.6692601121        2.0347012203
1.2613876042        2.7840281863
2.1115725077        4.1420544760
3.4116824155        6.4598736493
5.4718213397       10.3564329353
8.8098831744       16.9196327546
14.3105345106       28.0785940267
23.5137350025       47.3036804040
39.1498871592       80.9542970092
66.1585543126      140.9671975584
113.7036555283      250.5793811430
199.4670440955      458.3754372831
360.4996937010      884.7363715825
692.8593043866     1970.1664606309
1633.7605399963     7282.0817115084

Erange 1000.0000 1584.8932

0.2166060426        1.7620858203
0.6948948928        2.1309077515
1.3210019911        2.9711876157
2.2386090515        4.5153519517
3.6725822753        7.1974929016
5.9957399972       11.8002729181
9.8473289953       19.7353329552
16.3499566375       33.5787627405
27.5163620202       58.1128910972
47.0305036488      102.4042649371
81.7883875639      184.0869804438
145.0476599672      338.6676893460
263.2676155476      642.0656260361
493.1439369881     1281.0200866901
980.8888328465     2913.2681997688
2374.1435352218    10764.0254964082

Erange 1584.8932 2511.8864

0.2231194541        1.8169724119
0.7188169833        2.2222877664
1.3777125393        3.1539663091
2.3620851571        4.8889977566
3.9318367003        7.9536262518
6.5283197544       13.3174053559
10.9273981782       22.7731045214
18.5281289881       39.6846228174
31.9115743589       70.4921916818
55.9514771257      127.8262976944
100.0876592710      237.1706937129
183.1499335222      451.8059098764
344.1568705451      889.3252546250
669.3082913928     1841.1416590626
1382.0600170418     4299.8114524701
3445.9920611640    15929.5809713669

Erange 2511.8864 3981.0717

0.2290902546        1.8674392713
0.7410014090        2.3084280089
1.4312586311        3.3307175223
2.4810300612        5.2586252768
4.1867778881        8.7184830490
7.0633313777       14.8882719457
12.0372021856       25.9984966102
20.8216027685       46.3476882162
36.6649677811       84.4147187990
65.8897256977      157.3909317423
121.1610474403      301.2668251461
228.7043196376      594.3516770569
445.0883850739     1216.2696830054
900.0433332683     2621.9125288369
1935.4986781293     6325.5187556787
4991.8612218043    23591.7120608104
 
Erange 3981.0717 6309.5734
 
0.2345307234        1.9135545495
0.7614357578        2.3889747774
1.4814122354        3.4998886524
2.5945221262        5.6198619557
4.4347232241        9.4816105261
7.5941238566       16.4902610810
13.1619250234       29.3668509509
23.2004295667       53.4901510200
41.7233014855       99.7777588324
76.7732195711      191.0919544082
144.9996933508      377.0743347885
282.1869142139      770.2413737512
568.8049555678     1640.0497642635
1197.4463781653     3692.4462225739
2690.1608723379     9259.7695795316
7210.4867911605    34949.8621342453

Erange 6309.5734 10000.0000

0.2394553584        1.9554079177
0.7801198040        2.4636391559
1.5279820767        3.6600587689
2.7017122939        5.9684608573
4.6730555973       10.2322439796
8.1138381301       18.0984531145
14.2852779224       32.8244314564
25.6288356565       61.0050195773
47.0144559795      116.3946739251
88.4753921621      228.7020697667
171.4514753527      464.7682403621
343.7411136678      982.4130116555
717.4704249332     2177.2880734676
1573.7766479014     5132.0956723390
3704.7798868909    13461.9204092505
10374.6593433394    51765.6463616529

Erange 10000.0000 15848.9319

0.2438804660        1.9931075378
0.7970648296        2.5321996121
1.5708162761        3.8099686665
2.8018436430        6.3004222227
4.8992993295       10.9596721054
8.6156338849       19.6865239291
15.3900594171       36.3102349137
28.0663321466       68.7584658247
52.4487738295      133.9926243138
100.8130588200      269.7397131752
200.1973618131      563.8292171800
413.0602478933     1232.1215232497
892.2113282342     2841.7494266514
2040.0123256773     7024.8432469210
5045.7915498235    19391.0516051091
14851.0520066624    76608.3221457268

Erange 15848.9319 25118.8643

0.2478237402        2.0267767589
0.8122926168        2.5945018166
1.6098032785        3.9485419405
2.8942658797        6.6120973042
5.1111866078       11.6535905279
9.0929127026       21.2277361896
16.4587790787       39.7583568820
30.4691937613       76.5943699840
57.9218194497      152.2172677193
113.5487212338      313.4538523937
230.7384398931      672.9036975388
489.2842217427     1518.2185242562
1092.6048111538     3641.2905563464
2603.7952683774     9448.8629435019
6781.9558559561    27598.3331155503
21118.2433072225   113183.5229530682

Erange 25118.8643 39810.7171

0.2513037826        2.0565501490
0.8258339408        2.6504550129
1.6448705693        4.0748946493
