# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 14 points, for different energy ranges (Erange)
# Grid-points: 14.  N Eranges: 23

# Column1: Frequency    column2: weight

Erange 0.0000 10.0000

0.1237520189        0.9953480584
0.3793210576        1.0603177324
0.6597671782        1.1957654954
0.9840308063        1.4133948133
1.3749190589        1.7328520386
1.8615001814        2.1854448800
2.4828690979        2.8219014341
3.2948316051        3.7292475222
4.3831950418        5.0703343025
5.8934107334        7.1862064817
8.1059865442       10.9011727051
11.6655039451       18.6462199489
18.5015048397       40.3358249912
38.2819532635      156.6176929723

Erange 10.0000 15.8489

0.1374094319        1.1065746103
0.4232874675        1.1957871987
0.7434627635        1.3832452154
1.1246519429        1.6880147553
1.5998350917        2.1417398404
2.2119848549        2.7939305402
3.0197111559        3.7226602599
4.1068823716        5.0574130007
5.6011802735        7.0326209795
7.7149478780       10.1280077624
10.8492870266       15.4922744537
15.9125394356       26.5146676382
25.6080428343       57.0613114748
53.4755730624      220.1125211584

Erange 15.8489 25.1189

0.1505666691        1.2141619398
0.4663185031        1.3322854327
0.8277068519        1.5829025816
1.2712878156        1.9963918216
1.8436088079        2.6232733911
2.6071668363        3.5424808468
3.6492744660        4.8772006454
5.0966470423        6.8270949102
7.1423813249        9.7419189377
10.1035301725       14.3144269945
14.5662361716       22.1701961220
21.8316004103       38.0813013453
35.7316313060       81.6223741771
75.4226567085      312.6617306196

Erange 25.1189 39.8107

0.1631562520        1.3175441044
0.5081770951        1.4690002249
0.9120372525        1.7938350101
1.4233448685        2.3387080235
2.1061443172        3.1820962285
3.0494194848        4.4480797906
4.3813220072        6.3314922440
6.2921913817        9.1461446770
9.0755650205       13.4295496937
13.2120067673       20.2108748061
19.5745958656       31.8329243658
30.0570187431       55.0796796299
50.1492744094      117.7865289580
107.1783297388      447.9532239797

Erange 39.8107 63.0957

0.1751328845        1.4163230403
0.5486776639        1.6051622979
0.9960210811        2.0148854393
1.5801351784        2.7143744444
2.3869791803        3.8214565309
3.5403675980        5.5262609568
5.2247498897        8.1328172499
7.7222102918       12.1354156373
11.4770489386       18.3750624012
17.2224496874       28.4209054649
26.2781750027       45.7212448421
41.4427682146       80.0245286075
70.6620174299      171.1497275424
153.1839920115      646.2551730002

Erange 63.0957 100.0000

0.1864652922        1.5102046331
0.5876633466        1.7399928662
1.0792191469        2.2445854341
1.7408187754        3.1218905788
2.6851623062        4.5427866675
4.0805890775        6.7900434678
6.1868950019       10.3276245183
9.4146722805       15.9258160031
14.4288638472       24.9067272813
22.3464969167       39.7083406441
35.1805962456       65.5184547987
57.1239822554      116.5275564847
99.7934538596      250.0070635506
219.8849251090      937.6053510630

Erange 100.0000 158.4893

0.1971320791        1.5989671650
0.6249956559        1.8726867218
1.1611723802        2.4811398852
1.9043787816        3.5587454918
2.9991713766        5.3452816270
4.6693370438        8.2486779479
7.2727561475       12.9586247774
11.3950369748       20.6532145019
18.0156522854       33.3973084995
28.8229704372       55.0132280452
46.8960302078       93.4595115136
78.5862781220      169.7104251358
141.0502377875      366.6123252772
316.6100822049     1366.5424642620

Erange 158.4893 251.1886

0.2071196561        1.6824466691
0.6605509163        2.0024171607
1.2414020419        2.7224478007
2.0696221481        4.0213777156
3.3268716611        6.2255350220
5.3043048684        9.9063048458
8.4841749046       16.0611858221
13.6840687647       26.4508538316
22.3200876467       44.2532609537
36.9116410253       75.4556024909
62.1534675938      132.4376997244
107.7376013130      246.7212469197
199.2542570825      538.9733116474
456.8148338118     1999.1167103367

Erange 251.1886 398.1072

0.2164211208        1.7605300726
0.6942199530        2.1283527095
1.3194178020        2.9661512425
2.2351995560        4.5052010177
3.6655163476        7.1772843511
5.9814567261       11.7606576801
9.8190406778       19.6592104096
16.2953330419       33.4391532657
27.4167071273       57.8955315617
46.8819737408      102.3193351051
81.7899193598      186.0880718335
146.9723500158      357.3408756648
280.9494882357      793.3581972962
659.8171183904     2933.2573821370

Erange 398.1072 630.9573

0.2250355201        1.8331514161
0.7259090833        2.2496790560
1.3947298426        3.2097043487
2.3996392595        5.0046961608
4.0117873209        8.1913069930
6.6949449046       13.8019617015
11.2705993355       23.7608112411
19.2325359337       41.7131393336
33.3642363588       74.7305852817
58.9958553993      137.0072118926
106.7269043438      258.8161120250
199.2107206824      514.6278991607
394.8716061946     1167.6927133752
953.1877173873     4314.0600989353

Erange 630.9573 1000.0000

0.2329672393        1.9002889439
0.7555413998        2.3656220115
1.4668625114        3.4504549208
2.5613905063        5.5135632638
4.3618737487        9.2554952014
7.4371311516       16.0121808928
12.8269527907       28.3542178175
22.4869444262       51.3282153821
40.1967444694       95.1112670428
73.4837764659      180.9584964669
137.9240966582      355.7288435531
267.8878409083      735.4910472494
552.4401168858     1715.9698037434
1375.9767397362     6356.2299530268

Erange 1000.0000 1584.8932

0.2402254166        1.9619621289
0.7830578426        2.4754688800
1.5353678880        3.6857316829
2.7188726288        6.0249247125
4.7115837714       10.3551221421
8.1987224212       18.3647495303
14.4708344316       33.4044338479
26.0351871851       62.2855111009
47.9142866742      119.2887281553
90.5147950650      235.5225052732
176.3046192376      482.4170871034
356.8585531562     1040.9927333185
768.1850111560     2513.6032217521
1982.9500242172     9376.8150807787

Erange 1584.8932 2511.8864

0.2468233492        2.0182283022
0.8084178279        2.5785866033
1.5998381346        3.9129309791
2.8705261553        6.5315646857
5.0564823086       11.4732925305
8.9690218562       20.8248869682
16.1797300245       38.8511844674
29.8377700205       74.5185441262
56.4740220701      147.3588151983
110.1618693375      301.7870399797
222.6488481804      644.5368680478
470.1773374173     1456.0849972255
