# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 18 points, for different energy ranges (Erange)
# Grid-points: 18.  N Eranges: 24

# Column1: Frequency    column2: weight

Erange 0.0000 39.8107

 0.1298456465        1.0448943223
 0.3988103234        1.1196138939
 0.6963991922        1.2755214302
 1.0444319069        1.5260243258
 1.4690553118        1.8925860867
 2.0029893765        2.4067608076
 2.6884334628        3.1135195712
 3.5810301363        4.0765382360
 4.7555291396        5.3868414675
 6.3143246626        7.1778931798
 8.4012517718        9.6543761342
11.2259757728       13.1527751211
15.1120083202       18.2827239159
20.6034371229       26.2959402993
28.7374965024       40.1952974943
41.8773577885       68.8381572595
67.0742138385      148.4251331235
139.6584529389      573.7543145168

Erange 39.8107 63.0957

 0.1397270663        1.1254777092
 0.4307899605        1.2191301615
 0.7578615451        1.4159549533
 1.1489848234        1.7357898769
 1.6386366888        2.2107025042
 2.2711820179        2.8884651343
 3.1054488566        3.8381653325
 4.2210677163        5.1589289357
 5.7275678639        6.9937081458
 7.7779516308        9.5523234108
10.5900998557       13.1534890555
14.4833453348       18.3104667896
19.9481632763       25.9284820791
27.7980070462       37.8224219073
39.5553770439       58.2905230178
58.6371652030       99.9850804948
95.1664262191      214.7432654279
199.8120771711      825.4199778099

Erange 63.0957 100.0000

 0.1492961798        1.2037437337
 0.4621159940        1.3186740178
 0.8192986447        1.5620778491
 1.2561790028        1.9623623515
 1.8173604229        2.5659968907
 2.5618965286        3.4433516902
 3.5703575165        4.6981286927
 4.9548575932        6.4819712916
 6.8736718957        9.0172498352
 9.5531488900       12.6340561081
13.3219122430       17.8348257001
18.6677883769       25.4201683531
26.3424481775       36.7700031095
37.5822702281       54.5748209134
54.6614174327       85.0768077754
82.5910671558      146.5220954634
136.0598224579      313.7826771084
288.4130388920     1198.9520575872

Erange 100.0000 158.4893

 0.1584291105        1.2786680849
 0.4923676705        1.4168338168
 0.8798545971        1.7117810679
 1.3645306726        2.2028430665
 2.0029559444        2.9552177392
 2.8721552979        4.0694407792
 4.0802360619        5.6968264595
 5.7818801288        8.0636244257
 8.2014489460       11.5088646007
11.6681652831       16.5452628560
16.6712554225       23.9626844156
23.9506227986       35.0208323055
34.6586778230       51.8606667207
50.6893596016       78.5471730133
75.4798257353      124.2620571484
116.4556798070      215.4795983513
195.0697414287      460.7702739648
417.9836587046     1749.9627946475

Erange 100.0000 251.1886

 0.1671116548        1.3501155838
 0.5214708551        1.5132276971
 0.9393097368        1.8642661849
 1.4735702808        2.4560733772
 2.1946748324        3.3774770248
 3.2012048726        4.7680863755
 4.6354130094        6.8427547387
 6.7065314527        9.9305435598
 9.7264735478       14.5367731415
