# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 10 points, for different energy ranges (Erange)
# Grid-points: 10.  N Eranges: 17

# Column1: Time    column2: weight

Erange 0.0000 10.0000

0.0330697624        0.0851548885
0.1768078438        0.2041221377
0.4464853449        0.3387624704
0.8637994095        0.5020218013
1.4665304201        0.7136389791
2.3172114001        1.0042283384
3.5172089430        1.4225951253
5.2328732181        2.0553775440
7.7617287680        3.1013168392
11.7952949791        5.3215604241

Erange 10.0000 15.8489

0.0236720154        0.0610159587
0.1271138180        0.1475426219
0.3236822915        0.2490140072
0.6344940443        0.3787936644
1.0975870642        0.5578985972
1.7773429154        0.8187105789
2.7785871376        1.2113333425
4.2719025722        1.8225764417
6.5582697626        2.8490231857
10.3263813643        5.0376131531

Erange 15.8489 25.1189

0.0167859311        0.0433183177
0.0906140453        0.1058666501
0.2331247893        0.1824134653
0.4645377048        0.2865259976
0.8225114978        0.4400162724
1.3719280550        0.6761202158
2.2188430810        1.0455810781
3.5357560691        1.6359664124
5.6260677965        2.6436405908
9.1774382056        4.8056680998

Erange 25.1189 39.8107

0.0118170372        0.0305390218
0.0641991517        0.0756000893
0.1672645684        0.1335956518
0.3401155680        0.2180513278
0.6193913122        0.3509424253
1.0690495497        0.5655362558
1.7944040288        0.9130793425
2.9682685375        1.4827338153
4.8960358518        2.4721207512
8.2659053716        4.6114350814

Erange 39.8107 63.0957

0.0082736336        0.0214183290
0.0452968206        0.0538519398
0.1198570122        0.0981228090
0.2498047575        0.1674591236
0.4701898609        0.2833958314
0.8428723827        0.4787566255
1.4710843779        0.8054477304
2.5270093394        1.3548062293
4.3178190934        2.3266241431
7.5333932640        4.4464016762

Erange 63.0957 100.0000

0.0057695951        0.0149667333
0.0318850374        0.0383470288
0.0859854511        0.0724914643
0.1845984841        0.1300892819
0.3607477727        0.2318018691
0.6734363414        0.4098643125
1.2230817482        0.7169870686
2.1806860083        1.2469010615
3.8549835580        2.2020857144
6.9382542461        4.3050004436

Erange 100.0000 158.4893

0.0040123212        0.0104341288
0.0224292598        0.0273555299
0.0619085873        0.0540240668
0.1376297836        0.1023930872
0.2803265917        0.1920401273
0.5457959215        0.3546405619
1.0313322018        0.6437134573
1.9064099527        1.1553442821
3.4810591957        2.0949658889
6.4503500759        4.1832825912

Erange 158.4893 251.1886

0.0027856541        0.0072661315
0.0157937535        0.0195941905
0.0448481728        0.0407225136
0.1037925661        0.0817423486
0.2209854440        0.1611258077
0.4489803369        0.3100532566
0.8818934417        0.5827362547
1.6874467002        1.0774384067
3.1766710704        2.0026449628
6.0475787906        4.0782983130

Erange 251.1886 398.1072

0.0019327474        0.0050602718
0.0111525104        0.0141268602
0.0327753346        0.0311202095
0.0793548313        0.0662243130
0.1769378304        0.1368964938
0.3749891456        0.2738596643
0.7645313671        0.5318462411
1.5113972490        1.0110650398
2.9273291880        1.9230352100
5.7132711850        3.9876880962

Erange 398.1072 630.9573

0.0013414763        0.0035286728
0.0079135387        0.0102803623
0.0242305726        0.0241590001
0.0616336183        0.0544702109
0.1440265775        0.1177892252
0.3180415012        0.2443886234
0.6717744197        0.4893474221
1.3691124338        0.9545715678
2.7222502593        1.8545048283
5.4349420610        3.9096100475

Erange 630.9573 1000.0000

0.0009324064        0.0024672655
0.0056560504        0.0075741023
0.0181721289        0.0190815196
0.0487120808        0.0454982798
0.1192629003        0.1026475177
0.2739191229        0.2203452052
0.5980643983        0.4538671149
1.2536520059        0.9065751913
2.5531126726        1.7956644412
5.2028197179        3.8424989882

Erange 1000.0000 1584.8932

0.0006497444        0.0017326137
0.0040833478        0.0056676592
0.0138630492        0.0153513377
0.0392312547        0.0386046831
0.1005045507        0.0906088701
0.2395418039        0.2007206044
0.5392569146        0.4242960863
1.1597390133        0.8659292391
2.4134857725        1.7453482692
5.0092570960        3.7850453570

Erange 1584.8932 2511.8864

0.0004546223        0.0012247077
0.0029878372        0.0043218651
0.0107866942        0.0125921514
0.0322343304        0.0332845904
0.0862209138        0.0810286101
0.2126637392        0.1847320073
0.4922674783        0.3997482877
1.0833747559        0.8317002528
2.2984274495        1.7026006523
4.8483158018        3.7361789668

Erange 2511.8864 3981.0717

0.0003200556        0.0008740345
0.0022246315        0.0033691497
0.0085816023        0.0105393561
0.0270450051        0.0291696470
0.0753063709        0.0734134385
0.1916196153        0.1717543874
0.4547477247        0.3794887739
1.0214393206        0.8030879371
2.2039990618        1.6665845213
4.7151828791        3.6949629981

Erange 3981.0717 6309.5734

0.0002273927        0.0006324539
0.0016930353        0.0026928112
0.0069960068        0.0090069991
0.0231854324        0.0259895933
0.0669605830        0.0673853109
0.1751716668        0.1612907871
0.4249074065        0.3629137459
0.9714990965        0.7794159919
2.1270679156        1.6365795128
4.6059719000        3.6605913731

Erange 6309.5734 10000.0000

0.0001638280        0.0004668065
0.0013235929        0.0022124398
0.0058560160        0.0078651680
0.0203202808        0.0235476809
0.0606089867        0.0626594967
0.1624111567        0.1529569671
0.4014057161        0.3495462844
0.9317006239        0.7601415052
2.0652164939        1.6120023672
4.5176548597        3.6324120602

Erange 10000.0000 10000000000000000000000.0

0.0001205812        0.0003542426
0.0010684840        0.0018727971
0.0050413374        0.0070221877
0.0182124529        0.0216986314
0.0558343073        0.0590180579
0.1526607889        0.1464496275
0.3832191055        0.3389988918
0.9005979845        0.7448114948
2.0165232761        1.5923572366
4.4477899424        3.6098700106

