# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677	
#  Minimax grids with 18 points, for different energy ranges (Erange)	
# Grid-points: 18.  N Eranges: 24	
	
# Column1: Frequency    column2: weight	# Column3: Time    column4: weight
	
Erange 0.0000 39.8107	
	
 0.1298456465        1.0448943223	0.0065047076        0.0167274166
 0.3988103234        1.1196138939	0.0345763845        0.0396320790
 0.6963991922        1.2755214302	0.0863605589        0.0643278044
 1.0444319069        1.5260243258	0.1642436820        0.0920726670
 1.4690553118        1.8925860867	0.2720827763        0.1245689089
 2.0029893765        2.4067608076	0.4157314705        0.1641431838
 2.6884334628        3.1135195712	0.6037727277        0.2139629827
 3.5810301363        4.0765382360	0.8484615472        0.2782357701
 4.7555291396        5.3868414675	1.1668574435        0.3623970743
 6.3143246626        7.1778931798	1.5821748449        0.4733813406
 8.4012517718        9.6543761342	2.1255130141        0.6201412070
11.2259757728       13.1527751211	2.8383150331        0.8146289485
15.1120083202       18.2827239159	3.7761844897        1.0736246942
20.6034371229       26.2959402993	5.0153178459        1.4223973564
28.7374965024       40.1952974943	6.6645553124        1.9030598837
41.8773577885       68.8381572595	8.8915509813        2.5972903740
67.0742138385      148.4251331235	11.9933512287        3.7067955625
139.6584529389      573.7543145168	16.6764703424        6.0309875385
	
Erange 39.8107 63.0957	
	
 0.1397270663        1.1254777092	0.0041722274        0.0107351233
 0.4307899605        1.2191301615	0.0222307290        0.0255564508
 0.7578615451        1.4159549533	0.0557735799        0.0418565820
 1.1489848234        1.7357898769	0.1068018040        0.0607451424
 1.6386366888        2.2107025042	0.1786412823        0.0837875902
 2.2711820179        2.8884651343	0.2764899558        0.1131972225
 3.1054488566        3.8381653325	0.4081654524        0.1520293699
 4.2210677163        5.1589289357	0.5850289260        0.2043411997
 5.7275678639        6.9937081458	0.8230733480        0.2753797327
 7.7779516308        9.5523234108	1.1442695864        0.3719329030
10.5900998557       13.1534890555	1.5783977765        0.5029671890
14.4833453348       18.3104667896	2.1657119063        0.6806881808
19.9481632763       25.9284820791	2.9610030185        0.9223683600
27.7980070462       37.8224219073	4.0402315706        1.2539117965
39.5553770439       58.2905230178	5.5126167119        1.7179680620
58.6371652030       99.9850804948	7.5464674378        2.3960872497
95.1664262191      214.7432654279	10.4384200068        3.4874681328
199.8120771711      825.4199778099	14.8878794521        5.7769132915
	
Erange 63.0957 100.0000	
	
 0.1492961798        1.2037437337	0.0031306057        0.0080582510
 0.4621159940        1.3186740178	0.0167097480        0.0192509609
 0.8192986447        1.5620778491	0.0420603753        0.0317394428
 1.2561790028        1.9623623515	0.0809539653        0.0465387250
 1.8173604229        2.5659968907	0.1363909679        0.0651190143
 2.5618965286        3.4433516902	0.2131477981        0.0895940655
 3.5703575165        4.6981286927	0.3185096464        0.1228924837
 4.9548575932        6.4819712916	0.4631573414        0.1689031535
 6.8736718957        9.0172498352	0.6622260350        0.2326964879
 9.5531488900       12.6340561081	0.9366779620        0.3209482712
13.3219122430       17.8348257001	1.3152330549        0.4426422427
18.6677883769       25.4201683531	1.8371818863        0.6101629541
26.3424481775       36.7700031095	2.5566133546        0.8411236798
37.5822702281       54.5748209134	3.5491924579        1.1618888828
54.6614174327       85.0768077754	4.9243156649        1.6155610055
82.5910671558      146.5220954634	6.8507976282        2.2838110398
136.0598224579      313.7826771084	9.6253893619        3.3646504592
288.4130388920     1198.9520575872	13.9441065436        5.6350170315
	
Erange 100.0000 158.4893	
	
 0.1584291105        1.2786680849	0.0017784976        0.0045820369
 0.4923676705        1.4168338168	0.0095305033        0.0110339171
 0.8798545971        1.7117810679	0.0241715764        0.0184719163
 1.3645306726        2.2028430665	0.0470787134        0.0277374294
 2.0029559444        2.9552177392	0.0806744955        0.0401072366
 2.8721552979        4.0694407792	0.1289443167        0.0574545179
 4.0802360619        5.6968264595	0.1980991784        0.0823776590
 5.7818801288        8.0636244257	0.2973741997        0.1183640886
 8.2014489460       11.5088646007	0.4400631372        0.1701154914
11.6681652831       16.5452628560	0.6449848393        0.2440891501
16.6712554225       23.9626844156	0.9386073149        0.3492807527
23.9506227986       35.0208323055	1.3581198602        0.4983722613
34.6586778230       51.8606667207	1.9559668798        0.7095962619
50.6893596016       78.5471730133	2.8069438671        1.0102346423
75.4798257353      124.2620571484	4.0205781847        1.4444207814
116.4556798070      215.4795983513	5.7666962939        2.0944104185
195.0697414287      460.7702739648	8.3428178610        3.1566548553
417.9836587046     1749.9627946475	12.4402956710        5.3953896204
	
Erange 100.0000 251.1886	
	
 0.1671116548        1.3501155838	0.0012731021        0.0032819955
 0.5214708551        1.5132276971	0.0068408899        0.0079468793
 0.9393097368        1.8642661849	0.0174418712        0.0134463067
 1.4735702808        2.4560733772	0.0342567627        0.0205292847
 2.1946748324        3.3774770248	0.0594095603        0.0303582078
 3.2012048726        4.7680863755	0.0964524637        0.0446469182
 4.6354130094        6.8427547387	0.1509745874        0.0657772653
 6.7065314527        9.9305435598	0.2313566176        0.0969972856
 9.7264735478       14.5367731415	0.3498108077        0.1428023535
14.1654409315       21.4436699379	0.5239021242        0.2095165425
20.7404186669       31.8798950383	0.7787609548        0.3061070498
30.5610246777       47.8267584527	1.1502794202        0.4453729615
45.3855406117       72.6417146069	1.6898140334        0.6458550254
68.1238234766      112.5730134965	2.4714863686        0.9353531014
104.0186412697      181.3233185640	3.6047494209        1.3586573520
164.1839893914      317.5787234605	5.2599772757        1.9985335334
280.1544767373      679.3006854296	7.7353545752        3.0509031140
607.6472584091     2564.4398684848	11.7204273208        5.2738872948
	
Erange 251.1886 398.1072	
	
 0.1753336154        1.4179805189	0.0010030076        0.0025869659
 0.5493591168        1.6074658183	0.0054011929        0.0062911966
 0.9974384765        2.0186169667	0.0138290060        0.0107351937
 1.5827654840        2.7205270993	0.0273431384        0.0166070638
 2.3915599085        3.8310411083	0.0478739878        0.0249888153
 3.5477813599        5.5390252612	0.0786830586        0.0374779892
 5.2351819268        8.1418259045	0.1249328308        0.0563035562
 7.7314391900       12.1062847716	0.1944173562        0.0845522551
11.4619432350       18.1681878289	0.2986096721        0.1265793380
17.0858339095       27.4966536564	0.4542136973        0.1886080979
25.6360565260       41.9732549127	0.6854260122        0.2795655359
38.7534373030       64.6903776191	1.0272086576        0.4123050051
59.0967942347      100.9294347797	1.5301066611        0.6055566518
91.1294211334      160.4209494552	2.2676993472        0.8874705225
142.8954158627      263.9275714556	3.3493180374        1.3033133510
231.1836811138      468.4685153113	4.9456886302        1.9362701532
402.6537267206     1004.5837269164	7.3555254238        2.9820300811
885.4112133044     3770.4566405623	11.2674173193        5.1948743744
	
Erange 398.1072 630.9573	
	
 0.1830883869        1.4821841211	0.0006292470        0.0016247092
 0.5759736199        1.6991565509	0.0034047652        0.0039893994
 1.0540123102        2.1738178248	0.0087998347        0.0069374055
 1.6915292880        2.9943287033	0.0176636613        0.0110494736
 2.5924529877        4.3132948542	0.0315919108        0.0172556556
 3.9100888201        6.3801427067	0.0533250279        0.0269305189
 5.8776660884        9.5966211191	0.0872499733        0.0420241387
 8.8570187361       14.6094618695	0.1400989014        0.0653370029
13.4175478211       22.4654971365	0.2220074191        0.1009630577
20.4661980466       34.8746541639	0.3481020164        0.1549116725
31.4648411267       54.6652672857	0.5408282237        0.2359862840
48.8017490555       86.6016594302	0.8333481627        0.3570806030
76.4495863995      138.9594702382	1.2745678967        0.5372219913
121.2151194824      227.0040973426	1.9368869444        0.8051888647
195.4677596852      382.6455458726	2.9292459714        1.2071767417
324.7692285337      690.7940183750	4.4229488336        1.8272882687
578.6257253636     1489.0481843705	6.7178167799        2.8610494958
1292.2097048241     5558.8219829052	10.5012007219        5.0562989441
	
Erange 630.9573 1000.0000	
	
 0.1903726716        1.5426731051	0.0004668842        0.0012064426
 0.6012634771        1.7879145271	0.0025351832        0.0029835181
 1.1088041456        2.3287782075	0.0065984217        0.0052614499
 1.7992322446        3.2752890006	0.0133946637        0.0085599069
 2.7960136019        4.8207453166	0.0243333257        0.0137168167
 4.2858018852        7.2873034190	0.0418555360        0.0219731076
 6.5597239166       11.2056972830	0.0699004840        0.0351198350
10.0810679769       17.4517850579	0.1145900856        0.0557937273
15.5982821536       27.4816899166	0.1852868936        0.0879277307
24.3365285771       43.7420856642	0.2961886017        0.1373837724
38.3276278710       70.3994884411	0.4686822380        0.2128597956
60.9895801211      114.6741638350	0.7348065677        0.3272351253
98.1745370250      189.4104308329	1.1424023312        0.4996790920
160.1684927159      318.5833692910	1.7630505380        0.7593294859
265.9620528718      551.7946759068	2.7053476877        1.1529622794
454.7015136525     1016.9707741924	4.1408869163        1.7653147148
830.6382077070     2210.5057774575	6.3702167167        2.7919762112
1887.7088671338     8213.8198208033	10.0802468832        4.9772976246
	
Erange 1000.0000  1584.8932	
	
 0.1971862309        1.5994184745	0.0002609145        0.0006754356
 0.6251862061        1.8733691394	0.0014284110        0.0016981110
 1.1615931263        2.4823604756	0.0037793134        0.0030935620
 1.9052171671        3.5609554992	0.0078755343        0.0052777001
 3.0007468049        5.3490662228	0.0148187271        0.0089246777
 4.6720927424        8.2542659701	0.0265443710        0.0150467301
 7.2769046128       12.9630098751	0.0462373542        0.0251712972
11.3984342625       20.6361200351	0.0789916248        0.0416516502
18.0032808349       33.2552272538	0.1328484338        0.0681184703
28.7167955677       54.2457921012	0.2203793192        0.1101320672
46.3121632358       89.6184478611	0.3610645276        0.1761428878
75.5960615341      150.1129298272	0.5848529331        0.2789306706
125.0546930949      255.3920101846	0.9375236694        0.4378452603
210.0476642953      442.9301365229	1.4889766904        0.6826254816
359.5807296926      790.3671963035	2.3469686778        1.0611210798
633.7970839226     1492.7817243145	3.6834788446        1.6593600204
1190.1117439479     3283.8983901805	5.8004501435        2.6733428837
2758.5792931344    12158.9036124478	9.3845111361        4.8417963244
	
Erange 1584.8932 2511.8864	
	
 0.2035316360        1.6524142554	0.0001855132        0.0004808527
 0.6477081184        1.9551726480	0.0010215029        0.0012230540
 1.2121694365        2.6334093167	0.0027344894        0.0022794774
 2.0088152143        3.8486743744	0.0058038701        0.0040136580
 3.2050382740        5.8931823353	0.0111810482        0.0070154038
 5.0656818893        9.2726945107	0.0205518301        0.0121847612
 8.0234617331       14.8575121486	0.0367304306        0.0209200715
