# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677	
#  Minimax grids with 20 points, for different energy ranges (Erange)	
# Grid-points: 20.  N Eranges: 26	
	
# Column1: Frequency    column2: weight	# Column3: Time    column4: weight
	
Erange 0.0000 39.8107	
	
 0.1259109480        1.0128675296	0.0042417726        0.0109070896
 0.3861703090        1.0808186695	0.0225386312        0.0258215557
 0.6724232505        1.2221980468	0.0562526546        0.0418492876
 1.0043127205        1.4483179456	0.1068629789        0.0597626762
 1.4051203700        1.7771645475	0.1767480303        0.0805983718
 1.9036063148        2.2348934330	0.2694967566        0.1057617828
 2.5363257747        2.8581886743	0.3903413742        0.1371550770
 3.3506737777        3.6977951053	0.5467141953        0.1772939553
 4.4090140769        4.8237859184	0.7489117852        0.2294077942
 5.7944469634        6.3336557813	1.0108647946        0.2975609808
 7.6191667188        8.3654678679	1.3510691399        0.3868670009
10.0371978610       11.1209068882	1.7938076281        0.5038662197
13.2651939300       14.9095176408	2.3708612715        0.6571437130
17.6195574163       20.2421704270	3.1240180105        0.8583463758
23.5900215761       28.0491460570	4.1089488325        1.1240021613
32.0037169556       40.2481333250	5.4016887174        1.4791765086
44.4441799334       61.4475567777	7.1107531861        1.9658740247
64.5299314803      105.2396406746	9.4034717553        2.6659270102
103.0709621715      227.1442363764	12.5770535750        3.7820372655
214.2378885785      879.1417316771	17.3406428377        6.1188680951
	
Erange 39.8107 63.0957	
	
 0.1269005661        1.0209189060	0.0037488236        0.0096407657
 0.3893436383        1.0905247630	0.0199302931        0.0228488140
 0.6784223260        1.2354440535	0.0497936793        0.0371079148
 1.0143054963        1.4674710893	0.0947408260        0.0531595075
 1.4209575480        1.8053760802	0.1570412819        0.0720091944
 1.9280640442        2.2764911488	0.2401452883        0.0950337326
 2.5734629819        2.9192110081	0.3491180665        0.1241065543
 3.4063474143        3.7867331377	0.4911935249        0.1617080729
 4.4916150233        4.9526246804	0.6764290683        0.2110214333
 5.9159470021        6.5193488091	0.9184668187        0.2760608848
 7.7966091574        8.6320568315	1.2354696723        0.3619046982
10.2948349674       11.5026606910	1.6513682763        0.4750930017
13.6376091270       15.4558538652	2.1976141031        0.6242574248
18.1564082014       21.0261510236	2.9157364131        0.8211393223
24.3637900705       29.1842857065	3.8612621563        1.0823985873
33.1239654661       41.9274301678	5.1102224591        1.4332424319
46.0884630118       64.0510985724	6.7712523855        1.9157658348
67.0263507212      109.6996665288	9.0118118124        2.6116952045
107.1915270177      236.6635224289	12.1288761753        3.7229736169
222.9766291753      915.4739377571	16.8294513682        6.0501925718
	
Erange 63.0957 100.0000	
	
 0.1357641163        1.0931306031	0.0028104368        0.0072298140
 0.4179192274        1.1788166742	0.0149618879        0.0171819050
 0.7329685667        1.3583455500	0.0374765159        0.0280490206
 1.1062958971        1.6486589992	0.0715858114        0.0405021821
 1.5687627756        2.0769745575	0.1193163993        0.0554742773
 2.1595835272        2.6834584997	0.1838032798        0.0742694785
 2.9300528201        3.5254424165	0.2697204816        0.0986795173
 3.9485726796        4.6837156169	0.3838179390        0.1310787103
 5.3076024137        6.2718182500	0.5355486564        0.1745173778
 7.1334704522        8.4500187236	0.7378144250        0.2328776513
 9.6005791161       11.4472299126	1.0079252586        0.3111526535
12.9527334837       15.5977311656	1.3689145349        0.4158840372
17.5369957005       21.4086009685	1.8513909727        0.5558129803
23.8619706227       29.6980530991	2.4962069757        0.7429022864
32.7096962762       41.9153403904	3.3584842423        0.9941284651
45.3806595917       60.9794535925	4.5141925841        1.3350562364
64.3178404052       93.8233445225	6.0722339966        1.8080475253
95.0214541298      160.8682489123	8.2004386149        2.4946869354
153.8131079680      345.7450460078	11.1954577499        3.5953762265
322.4111988656     1330.4173461724	15.7599752082        5.9020687783
	
Erange 100.0000 158.4893	
	
 0.1442641242        1.1625566529	0.0015934091        0.0041019305
 0.4455962130        1.2659127165	0.0085090495        0.0098090358
 0.7867389265        1.4838936355	0.0214381325        0.0162026542
 1.1990166749        1.8400398909	0.0413217924        0.0238266974
 1.7214055840        2.3725710049	0.0697620860        0.0334742014
 2.4047006583        3.1387350047	0.1093211047        0.0462892231
 3.3170752787        4.2217169463	0.1639189491        0.0638565714
 4.5517789824        5.7410335803	0.2393122306        0.0882787418
 6.2380239111        7.8679845970	0.3436660043        0.1222980202
 8.5566313768       10.8488705619	0.4882968915        0.1695231853
11.7629305743       15.0408968917	0.6887039383        0.2347790375
16.2211573457       20.9705794327	0.9660147447        0.3245925111
22.4583380664       29.4366484330	1.3490093267        0.4478790207
31.2545958197       41.7127745414	1.8769921238        0.6169920157
43.8107754357       60.0048373005	2.6040387411        0.8495175969
62.1055966131       88.6446141571	3.6057691429        1.1717832984
89.7947529229      137.7424356652	4.9914948533        1.6268516931
134.9745643082      236.9216058126	6.9299171690        2.2963863208
221.4521500231      507.7075717646	9.7177223945        3.3785361353
468.1988031284     1942.9876652214	14.0512612734        5.6511332871
	
Erange 158.4893 251.1886	
	
 0.1523871193        1.2290753072	0.0011390450        0.0029336694
 0.4723138842        1.3515333610	0.0060955201        0.0070451556
 0.8395718529        1.6115542262	0.0154192503        0.0117321498
 1.2921447814        2.0408878057	0.0299082652        0.0174722716
 1.8783954111        2.6916678506	0.0509493519        0.0249801406
 2.6629395089        3.6432266355	0.0808010692        0.0352990341
 3.7347133228        5.0130359092	0.1229612993        0.0498753281
 5.2184529843        6.9734098100	0.1826068734        0.0706377004
 7.2913406554        9.7767190779	0.2671428194        0.1001477693
10.2074706737       13.7937179164	0.3869559666        0.1418601866
14.3343133417       19.5729418802	0.5564845870        0.2004950504
20.2081010303       27.9361115105	0.7957234718        0.2825435405
28.6205601839       40.1411564906	1.1323289033        0.3969798598
40.7620102201       58.1898508948	1.6046003100        0.5563410075
58.4790922054       85.4950894157	2.2658640493        0.7785426625
84.8055146240      128.5901182659	3.1913896822        1.0903727562
125.2688527965      202.3706984176	4.4906275471        1.5353838262
191.8905473212      350.0167137274	6.3328134368        2.1954643645
319.5839586228      748.7012397157	9.0149431195        3.2678296963
682.2286414937     2849.2547084331	13.2306709449        5.5234111805
	
Erange 251.1886 398.1072	
	
 0.1601228422        1.2925883336	0.0008964304        0.0023096719
 0.4980176696        1.4353930735	0.0048051192        0.0055650997
 0.8913020409        1.7407096301	0.0121936516        0.0093269713
 1.3853146572        2.2502331460	0.0237702271        0.0140298315
 2.0391058152        3.0332406481	0.0407838827        0.0203348346
 2.9335059059        4.1968841771	0.0652933285        0.0292125912
 4.1825289365        5.9029343225	0.1005103312        0.0420091617
 5.9500467522        8.3938094523	0.1512136515        0.0605323710
 8.4746032449       12.0326809351	0.2242873430        0.0872222770
12.1067982116       17.3656106830	0.3294824759        0.1254275313
17.3662784853       25.2191754400	0.4805077191        0.1797882674
25.0299138018       36.8577222944	0.6965665705        0.2567550853
36.2713280073       54.2482983795	1.0045115923        0.3653220398
52.8904599258       80.5438096660	1.4418995293        0.5181328291
77.7186693777      121.0848617315	2.0614740828        0.7333190532
115.4249678330      185.8790092860	2.9381939984        1.0379927222
174.4394828747      297.1345838408	4.1815556891        1.4760781533
272.7651967250      518.1387632459	5.9611648673        2.1296885906
461.8753196156     1107.9000217962	8.5743268969        3.1955233525
996.7329397045     4192.5232373369	12.7131467808        5.4401334554
	
Erange 398.1072 630.9573	
	
 0.1674639042        1.3530187944	0.0005610726        0.0014468090
 0.5226588237        1.5172034625	0.0030184720        0.0035116704
 0.9417618153        1.8706686579	0.0077139213        0.0059696893
 1.4781223077        2.4668713715	0.0152066640        0.0091809356
 2.2027777250        3.3957148864	0.0265115695        0.0137085278
 3.2152738381        4.7985741830	0.0433359502        0.0203834591
 4.6593895400        6.8930970282	0.0683752104        0.0303625965
 6.7467507396       10.0125429643	0.1056856628        0.0452360196
 9.7928982538       14.6678096853	0.1612093855        0.0672262910
14.2730420615       21.6457961259	0.2435452043        0.0994809247
20.9092134404       32.1671834057	0.3650619735        0.1464691518
30.8082477879       48.1442543585	0.5434781501        0.2145280743
45.6841530199       72.6159330075	0.8040946724        0.3126410767
68.2270972828      110.5266094571	1.1829818386        0.4536033320
102.7495145884      170.2779090243	1.7316542057        0.6559174963
156.4372036433      267.3993126925	2.5243333830        0.9473055307
242.2269071424      435.4332084994	3.6704779200        1.3724504245
387.3009768202      767.7560519275	5.3403626576        2.0140282496
667.9583966251     1643.9427511161	7.8320446783        3.0680352453
1459.1166921510     6186.6566786109	11.8353304831        5.2935687064
	
Erange 630.9573 1000.0000	
	
 0.1744055755        1.4103098873	0.0004156027        0.0010723356
 0.5461945710        1.5966781900	0.0022418132        0.0026167012
 0.9907836836        2.0006811501	0.0057588985        0.0044949702
 1.5701323718        2.6893826585	0.0114471931        0.0070258282
 2.3685297636        3.7769652240	0.0201937708        0.0107143956
 3.5067861891        5.4459848539	0.0335073393        0.0163067312
 5.1634176361        7.9830055742	0.0537858550        0.0248485875
 7.6072911442       11.8363296706	0.0846696232        0.0378064355
11.2487838039       17.7092547357	0.1315592819        0.0572763850
16.7209465095       26.7117546403	0.2023856911        0.0862799247
25.0097425978       40.6098780198	0.3087265753        0.1291679767
37.6656120879       62.2421718554	0.4674017465        0.1921849155
57.1524810135       96.2320237752	0.7027456290        0.2842771588
87.4369735604      150.2601580017	1.0498697080        0.4182997388
135.0247978222      237.5343600835	1.5594566795        0.6129561237
210.9357218659      382.3672411677	2.3051800030        0.8963356884
335.0887765226      636.0786583590	3.3963892157        1.3136166868
548.8297074222     1137.5601908451	5.0037385568        1.9479025694
965.8928158069     2444.4756335483	7.4258328899        2.9949203773
2138.9833882009     9150.9040018702	11.3514236378        5.2096627614
	
Erange 1000.0000 1584.8932	
	
 0.1809456125        1.4644241052	0.0002313895        0.0005978420
 0.5685883929        1.6735385138	0.0012557355        0.0014767719
 1.0382033841        2.1299551734	0.0032646742        0.0025984483
 1.6608870261        2.9161605854	0.0066152594        0.0042131885
 2.5353741772        4.1743371912	0.0119877181        0.0067242773
 3.8062691357        6.1355746116	0.0205587755        0.0107286659
 5.6919670161        9.1696422430	0.0342247963        0.0170853686
 8.5287653630       13.8673807891	0.0559267900        0.0270540197
12.8417471879       21.1771109497	0.0901510566        0.0425071646
19.4601741543       32.6323755245	0.1436819764        0.0662263969
