# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 8 points, for different energy ranges (Erange)
# Grid-points: 8.  N Eranges: 15

# Column1: Frequency    column2: weight

Erange 0.0000 10.0000

0.2071657943        1.6829817561
0.6610068185        2.0059905762
1.2441397724        2.7407066346
2.0831497522        4.1050402410
3.3887988553        6.5987137824
5.5847789422       11.6165824094
9.8270353946       24.8150218088
21.7281350381       92.8374617628

Erange 10.0000 15.8489

0.2281975509        1.8599530758
0.7378108396        2.2968980034
1.4244318649        3.3135541624
2.4707104240        5.2559877454
4.1905418464        8.8891966228
7.2131597201       16.2293092701
13.1990042083       35.1546864159
29.9997176794      130.5228668216

Erange 15.8489 25.1189

0.2478325384        2.0268816770
0.8123920588        2.5953521026
1.6105407106        3.9541677572
2.8990088123        6.6468551615
5.1406825221       11.8697865229
9.2811129613       22.6444849853
17.7585094674       50.1607418935
41.7034890992      185.3662237900

Erange 25.1189 39.8107

0.2659623770        2.1826051343
0.8840006194        2.8969365101
1.8001085399        4.6547564120
3.3647028374        8.2836499445
6.2468323093       15.6488752314
11.8655812207       31.3988836891
23.8618997130       71.8035815622
58.2201559306      265.3268104200

Erange 39.8107 63.0957

0.2825286714        2.3263348568
0.9519740012        3.1969483083
1.9904683567        5.4039159733
3.8621957498       10.1591360407
7.5094353654       20.3111276624
15.0358645326       43.0835599994
31.9280725161      102.7268225783
81.4355610562      382.0571299489

Erange 63.0957 100.0000

0.2975081621        2.4575559766
1.0157197989        3.4905086036
2.1786795733        6.1868369685
4.3835258184       12.2505252866
8.9196010680       25.8995764530
18.8421849707       58.2857763972
42.4191477984      146.3252239075
113.8785066010      552.5439430099

Erange 100.0000 158.4893

0.3109044422        2.5759785890
1.0747189671        3.7727475226
2.3616257812        6.9858359192
4.9184789791       14.5181804358
10.4573448605       32.3968585530
23.3016349187       77.4965031785
55.7970544598      206.6898871454
158.8526834842      801.3623837044

Erange 158.4893 251.1886

0.3227426886        2.6815110248
1.1285376083        4.0390256496
2.5361560368        7.7812210364
5.4549563099       16.9058863616
12.0906636709       39.7087250327
28.3830633636      100.9859648148
72.4478080141      288.2949361720
220.5115689924     1163.5939144504

Erange 251.1886 398.1072

0.3330653429        2.7742370967
1.1768381468        4.2851465838
2.6992426824        8.5524035364
5.9795753281       19.3430086985
13.7758193804       47.6536341676
33.9934529728      128.6605545855
92.5691845452      395.2752511397
303.7688360097     1688.1073861938

Erange 398.1072 630.9573

0.3419271677        2.8543829626
1.2193812021        4.5075059930
2.8481167646        9.2790431833
6.4783947849       21.7482887853
15.4589061277       55.9614042068
39.9686099759      159.9244871806
116.0253061549      530.1692053572
413.8290580287     2439.7513891405


Erange 630.9573 1000.0000

0.3493873557        2.9222522539
1.2560051022        4.7030936074
2.9803168477        9.9418316500
6.9374999179       24.0339752423
17.0780527326       64.2799619324
46.0690845013      193.5676803631
142.1776489457      692.0765816399
554.9087117432     3495.6626462237

Erange 1000.0000 1584.8932

0.3554939312        2.9780856028
1.2865572716        4.8691920632
3.0935328862       10.5221897284
7.3429185821       26.1072270760
18.5642203900       72.1802456621
51.9760118440      227.6683260546
169.6889674060      874.2020626068
727.2704120894     4922.1398607625

Erange 1584.8932 2511.8864

0.3602495964        3.0217444563
1.3107201533        5.0024392748
3.1850020782       10.9994660474
7.6788144410       27.8625606713
19.8359971798       79.1324347665
57.2679524910      259.4079260080
196.2327143675     1060.4224209113
920.7799560162     6698.7319069853

Erange 2511.8864 3981.0717

0.3635299969        3.0519515067
1.3275808457        5.0964010631
3.2498551555       11.3423291217
7.9215394123       29.1516475981
20.7780605758       84.3919081514
61.3311078827      284.5012327092
217.8756023806     1219.3765125366
1101.7305989568     8525.3100524718

Erange 3981.0717 10000000000000000000000.0

0.3648690337        3.0643035403
1.3345094218        5.1352465299
3.2767526307       11.4856046077
8.0233289348       29.6973060154
21.1789256485       86.6575195195
63.0974651146      295.5993122773
227.6366948945     1293.0627009745
1191.0753213079     9485.5947587699


