# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 12 points, for different energy ranges (Erange)
# Grid-points: 12.  N Eranges: 20

# Column1: Time    column2: weight

Erange 0.0000 10.0000

0.0276731293        0.0711846766
0.1472866131        0.1690895322
0.3687581752        0.2757926388
0.7039332404        0.3977636094
1.1723654412        0.5441057435
1.8045683155        0.7279147631
2.6469524305        0.9682939485
3.7693192226        1.2936786640
5.2773524399        1.7493131133
7.3381749736        2.4187704026
10.2488461667        3.5024366141
14.7099922874        5.7855524080

Erange 10.0000 15.8489

0.0197744403        0.0509006255
0.1055540607        0.1216171100
0.2657286900        0.2005723407
0.5115778444        0.2942623895
0.8622848926        0.4121942175
1.3486298025        0.5683208329
2.0182853816        0.7828128482
2.9432989908        1.0849323300
4.2321628138        1.5201863096
6.0546789845        2.1715313996
8.7089828257        3.2362170757
12.8889838191        5.4827819151

Erange 15.8489 25.1189

0.0139914438        0.0360435732
0.0749462508        0.0867256318
0.1899352964        0.1449645046
0.3694953283        0.2171731804
0.6321343467        0.3130978055
1.0083502424        0.4472033444
1.5460638227        0.6401597909
2.3179957425        0.9215937590
3.4336834940        1.3374215538
5.0643777475        1.9708906690
7.5093175535        3.0177535019
11.4582109486        5.2339591533

Erange 25.1189 39.8107

0.0098233039        0.0253298174
0.0528381746        0.0614579856
0.1349852452        0.1044042198
0.2659580878        0.1604027682
0.4633451027        0.2392238170
0.7567923091        0.3554023577
1.1933915052        0.5295956187
1.8450943819        0.7916439851
2.8211687374        1.1882714021
4.2936117871        1.8038125350
6.5630286139        2.8336933495
10.3169372291        5.0241742006

Erange 39.8107 63.0957

0.0068554341        0.0176966619
0.0370564464        0.0433653612
0.0955849405        0.0751114198
0.1912568606        0.1189110538
0.3405607339        0.1843254395
0.5717808682        0.2855556571
0.9302915137        0.4429546072
1.4862655552        0.6866338193
2.3478924769        1.0644429943
3.6875108667        1.6622940695
5.8073060489        2.6760843207
9.3940946176        4.8445700066

Erange 63.0957 100.0000

0.0047621174        0.0123090460
0.0258922313        0.0305206067
0.0675671842        0.0541046151
0.1377372356        0.0887139624
0.2516682757        0.1434876371
0.4358989283        0.2320235826
0.7335111111        0.3742832810
1.2123305473        0.6007236316
1.9789993531        0.9604392059
3.2058934683        1.5411563269
5.1968506439        2.5398045385
8.6390361850        4.6893655829

Erange 100.0000 158.4893

0.0032965068        0.0085339378
0.0180490022        0.0214595543
0.0477641980        0.0391102006
0.0995665181        0.0667625447
0.1874300857        0.1129751216
0.3359256681        0.1906296580
0.5855771225        0.3193090639
1.0016134105        0.5298124247
1.6888502670        0.8724391547
2.8194249642        1.4368081150
4.6987721274        2.4212834056
8.0151195661        4.5544745698

Erange 158.4893 251.1886

0.0022762644        0.0059035786
0.0125677039        0.0150972863
0.0338269925        0.0284353503
0.0724068993        0.0507789773
0.1409732198        0.0900226433
0.2620656724        0.1583351587
0.4736158009        0.2749467359
0.8381994746        0.4709220586
1.4586379799        0.7976398186
2.5065758758        1.3465944433
4.2889044537        2.3178650924
7.4953768133        4.4368325878

Erange 251.1886 398.1072

0.0015692112        0.0040787492
0.0087519455        0.0106444112
0.0240448765        0.0208412874
0.0530894602        0.0390928325
0.1072765322        0.0726187626
0.2071777069        0.1329358715
0.3882400731        0.2389268087
0.7104394593        0.4218108128
1.2745126394        0.7338882151
2.2513920738        1.2684530084
3.9492406835        2.2274784048
7.0596133347        4.3340445584

Erange 398.1072 630.9573

