# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677	
#  Minimax grids with 10 points, for different energy ranges (Erange)	
# Grid-points: 10.  N Eranges: 17	
	
# Column1: Frequency    column2: weight	# Column3: Time    column4: weight
	
Erange 0.0000 10.0000	
	
 0.1691355148        1.3668906607	0.0330697624        0.0851548885
 0.5284642103        1.5376910384	0.1768078438        0.2041221377
 0.9545511712        1.9085090684	0.4464853449        0.3387624704
 1.5047418958        2.5454826105	0.8637994095        0.5020218013
 2.2597115867        3.5752953953	1.4665304201        0.7136389791
 3.3454936705        5.2519519792	2.3172114001        1.0042283384
 4.9862966533        8.1659529947	3.5172089430        1.4225951253
 7.6650093063       14.0412676455	5.2328732181        2.0553775440
12.7796542255       29.9635632405	7.7617287680        3.1013168392
27.2864801899      113.9616484063	11.7952949791        5.3215604241
	
Erange 10.0000 15.8489	
	
 0.1869871309        1.5145800816	0.0236720154        0.0610159587
 0.5895532734        1.7471268103	0.1271138180        0.1475426219
 1.0837264945        2.2596684390	0.3236822915        0.2490140072
 1.7513396673        3.1585459584	0.6344940443        0.3787936644
 2.7113373418        4.6430693974	1.0975870642        0.5578985972
 4.1525884587        7.0975540441	1.7773429154        0.8187105789
 6.4085359717       11.3742847285	2.7785871376        1.2113333425
10.1783866742       19.8846971486	4.2719025722        1.8225764417
17.4346686857       42.4806155504	6.5582697626        2.8490231857
37.8980985815      160.1592266207	10.3263813643        5.0376131531
	
Erange 15.8489 25.1189	
	
 0.2039012435        1.6555252147	0.0167859311        0.0433183177
 0.6490652017        1.9603894729	0.0906140453        0.1058666501
 1.2154617028        2.6446293317	0.2331247893        0.1824134653
 2.0166038170        3.8762047872	0.4645377048        0.2865259976
 3.2247481157        5.9706622921	0.8225114978        0.4400162724
 5.1221232176        9.5269596084	1.3719280550        0.6761202158
 8.2115606004       15.8207932390	2.2188430810        1.0455810781
13.5286265845       28.3038693397	3.5357560691        1.6359664124
23.9062720036       60.8180734764	5.6260677965        2.6436405908
53.0749019920      227.4291674840	9.1774382056        4.8056680998
	
Erange 25.1189 39.8107	
	
 0.2197846533        1.7888580703	0.0118170372        0.0305390218
 0.7065505286        2.1753487613	0.0641991517        0.0756000893
 1.3486077979        3.0602200686	0.1672645684        0.1335956518
 2.2989288229        4.6997237882	0.3401155680        0.2180513278
 3.8011411937        7.5851738338	0.6193913122        0.3509424253
 6.2712402355       12.6573867842	1.0690495497        0.5655362558
10.4688111936       21.8802820911	1.7944040288        0.9130793425
17.9524987682       40.3268471471	2.9682685375        1.4827338153
32.8615723622       87.6674540565	4.8960358518        2.4721207512
74.7756485944      325.6244719695	8.2659053716        4.6114350814
	
Erange 39.8107 63.0957	
	
 0.2345798814        1.9139752750	0.0082736336        0.0214183290
 0.7616286890        2.3897895577	0.0452968206        0.0538519398
 1.4819393774        3.5019870758	0.1198570122        0.0981228090
 2.5960041367        5.6263232572	0.2498047575        0.1674591236
 4.4395273750        9.5060791976	0.4701898609        0.2833958314
 7.6132328090       16.6038924441	0.8428723827        0.4787566255
13.2547497255       29.9855356851	1.4710843779        0.8054477304
23.7282493641       57.3029721670	2.5270093394        1.3548062293
45.1768950589      126.8976580308	4.3178190934        2.3266241431
105.7729144697      469.2686806990	7.5333932640        4.4464016762
	
Erange 63.0957 100.0000	
	
 0.2482536529        2.0304531911	0.0057695951        0.0149667333
 0.8139632275        2.6013970433	0.0318850374        0.0383470288
 1.6141313956        3.9641872500	0.0859854511        0.0724914643
 2.9047396053        6.6485939097	0.1845984841        0.1300892819
 5.1362429079       11.7419410120	0.3607477727        0.2318018691
 9.1554123230       21.4685027041	0.6734363414        0.4098643125
16.6387607041       40.6082690439	1.2230817482        0.7169870686
31.1686645431       80.9391270348	2.1806860083        1.2469010615
61.9768886998      183.9854602052	3.8549835580        2.2020857144
149.9615921038      679.7576876444	6.9382542461        4.3050004436
	
Erange 100.0000 158.4893	
	
 0.2607908294        2.1380068869	0.0040123212        0.0104341288
 0.8632543115        2.8077970259	0.0224292598        0.0273555299
 1.7437728168        4.4398923935	0.0619085873        0.0540240668
 3.2212681696        7.7541187058	0.1376297836        0.1023930872
 5.8845768915       14.2870761441	0.2803265917        0.1920401273
10.8968338183       27.3265015551	0.5457959215        0.3546405619
20.6769015469       54.2240770796	1.0313322018        0.6437134573
40.6046868363      113.2948851714	1.9064099527        1.1553442821
84.6611375087      266.5197317993	3.4810591957        2.0949658889
212.7577554170      988.5625903017	6.4503500759        4.1832825912
	
Erange 158.4893 251.1886	
	
 0.2721910070        2.2364704739	0.0027856541        0.0072661315
 0.9092401123        3.0066299063	0.0157937535        0.0195941905
 1.8694056281        4.9212111209	0.0448481728        0.0407225136
 3.5410284304        8.9254361773	0.1037925661        0.0817423486
 6.6745887899       17.1186636963	0.2209854440        0.1611258077
12.8261352843       34.2107624288	0.4489803369        0.3100532566
25.4017665897       71.2590640537	0.8818934417        0.5827362547
52.3565960317      156.7050570892	1.6874467002        1.0774384067
14.9004634962      384.7086973640	3.1766710704        2.0026449628
01.5906626996     1441.8400381753	6.0475787906        4.0782983130
	
Erange 251.1886 398.1072	
	
 0.2824662467        2.3257859337	0.0019327474        0.0050602718
 0.9517015585        3.1956386237	0.0111525104        0.0141268602
 1.9895783859        5.3996106180	0.0327753346        0.0311202095
 3.8589208809       10.1404334202	0.0793548313        0.0662243130
 7.4931804727       20.1948679410	0.1769378304        0.1368964938
14.9198304676       42.0958396184	0.3749891456        0.2738596643
30.8112476377       92.0186638519	0.7645313671        0.5318462411
66.6907415629      213.5940437865	1.5113972490        1.0110650398
154.5762908277      551.7262156926	2.9273291880        1.9230352100
426.4637399855     2106.9529901574	5.7132711850        3.9876880962
	
Erange 398.1072 630.9573	
	
 0.2916392096        2.4059940349	0.0013414763        0.0035286728
 0.9904672599        3.3727551501	0.0079135387        0.0102803623
 2.1029049829        5.8663054109	0.0242305726        0.0241590001
 4.1695234368       11.3731912039	0.0616336183        0.0544702109
 8.3244617815       23.4545224341	0.1440265775        0.1177892252
17.1414352405       50.8843412073	0.3180415012        0.2443886234
36.8575879013      116.6036758550	0.6717744197        0.4893474221
83.7621447531      286.1519007076	1.3691124338        0.9545715678
205.6283870841      783.5924592643	2.7222502593        1.8545048283
600.5018496162     3081.4105583081	5.4349420610        3.9096100475
	
Erange 630.9573 1000.0000	
	
 0.2997413607        2.4772242467	0.0009324064        0.0024672655
 1.0254167167        3.5361737282	0.0056560504        0.0075741023
 2.2081204281        6.3126700124	0.0181721289        0.0190815196
 4.4673434763       12.5952245841	0.0487120808        0.0454982798
 9.1504060805       26.8187423356	0.1192629003        0.1026475177
19.4417624082       60.3985505678	0.2739191229        0.2203452052
43.4386668156      144.8242009234	0.5980643983        0.4538671149
103.5471053219      375.8629062381	1.2536520059        0.9065751913
269.7738483758     1098.1153648547	2.5531126726        1.7956644412
840.2848331258     4504.3939223480	5.2028197179        3.8424989882
	
Erange 1000.0000 1584.8932	
	
 0.3068109658        2.5396811556	0.0006497444        0.0017326137
 1.0564802087        3.6843998348	0.0040833478        0.0056676592
 2.3041249902        6.7306209763	0.0138630492        0.0153513377
 4.7470723881       13.7769658087	0.0392312547        0.0386046831
 9.9517267554       30.1944572496	0.1005045507        0.0906088701
21.7605318886       70.3798499898	0.2395418039        0.2007206044
50.3935721716      176.1269835985	0.5392569146        0.4242960863
125.7744579027      482.9151399022	1.1597390133        0.8659292391
348.0698561069     1512.2878117311	2.4134857725        1.7453482692
1165.5406450213     6569.5987208222	5.0092570960        3.7850453570
	
Erange 1584.8932 2511.8864	
	
 0.3128903217        2.5936224144	0.0004546223        0.0012247077
 1.0836325633        3.8162582328	0.0029878372        0.0043218651
 2.3900037820        7.1128892249	0.0107866942        0.0125921514
 5.0037876383       14.8891958074	0.0322343304        0.0332845904
10.7087987937       33.4792001882	0.0862209138        0.0810286101
24.0290199661       80.4965089125	0.2126637392        0.1847320073
57.5035919858      209.5512828348	0.4922674783        0.3997482877
149.8665589334      605.5615595983	1.0833747559        0.8317002528
440.3163793218     2037.5442412574	2.2984274495        1.7026006523
1597.3324135008     9533.5081180067	4.8483158018        3.7361789668
	
Erange 2511.8864 3981.0717	
	
 0.3180208381        2.6393159245	0.0003200556        0.0008740345
 1.1068742715        3.9308250303	0.0022246315        0.0033691497
 2.4649964188        7.4530427911	0.0085816023        0.0105393561
 5.2330020840       15.9038817881	0.0270450051        0.0291696470
11.4022590556       36.5653635629	0.0753063709        0.0734134385
26.1726545478       90.3558106515	0.1916196153        0.1717543874
64.4968153514      243.7153479877	0.4547477247        0.3794887739
174.8953978169      739.5086190322	1.0214393206        0.8030879371
544.3139194265     2672.4483472880	2.2039990618        1.6665845213
2152.9928502293    13699.9764933785	4.7151828791        3.6949629981
	
Erange 3981.0717 6309.5734	
	
 0.3222327278        2.6769471895	0.0002273927        0.0006324539
 1.1261846760        4.0272041015	0.0016930353        0.0026928112
 2.5283617927        7.7449787333	0.0069960068        0.0090069991
 5.4303608672       16.7933831094	0.0231854324        0.0259895933
12.0125527722       39.3401336529	0.0669605830        0.0673853109
28.1109550492       99.5077313820	0.1751716668        0.1612907871
71.0481159543      276.7991732905	0.4249074065        0.3629137459
199.5351883274      877.2963089423	0.9714990965        0.7794159919
654.9414770847     3392.3506015066	2.1270679156        1.6365795128
2834.2166166353    19327.4793202639	4.6059719000        3.6605913731
	
Erange 6309.5734 10000.0000	
	
 0.3255214101        2.7064058812	0.0001638280        0.0004668065
 1.1414100173        4.1039558322	0.0013235929        0.0022124398
 2.5790085497        7.9812493092	0.0058560160        0.0078651680
 5.5905435586       17.5258351705	0.0203202808        0.0235476809
12.5168740676       41.6731864918	0.0606089867        0.0626594967
29.7491494348      107.4104101562	0.1624111567        0.1529569671
76.7532744950      306.4111333723	0.4014057161        0.3495462844
221.9330386256     1007.2682411417	0.9317006239        0.7601415052
762.7629878613     4134.1841801288	2.0652164939        1.6120023672
3600.8832911895    26326.3790293712	4.5176548597        3.6324120602
	
Erange 10000.0000 10000000000000000000000.0	
	
 0.3277882136        2.7267501544	0.0001205812        0.0003542426
 1.1519811395        4.1576398855	0.0010684840        0.0018727971
 2.6145328160        8.1485077794	0.0050413374        0.0070221877
 5.7041951049       18.0511174784	0.0182124529        0.0216986314
