# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 12 points, for different energy ranges (Erange)
# Grid-points: 12.  N Eranges: 20

# Column1: Frequency    column2: weight

Erange 0.0000 10.0000

 0.1429218755        1.1516386570
 0.4413040082        1.2529042373
 0.7787608801        1.4672623751
 1.1864502692        1.8204249348
 1.7042237511        2.3576230703
 2.3869386764        3.1569403958
 3.3160967043        4.3615743259
 4.6250055507        6.2652703085
 6.5625649934        9.5715186728
 9.6884369954       16.3575128415
15.6631146136       35.1302427475
32.7980178888      135.2411004461

Erange 10.0000 15.8489

 0.1584039050        1.2784891327
 0.4923328393        1.4170284762
 0.8800124739        1.7134256188
 1.3655907229        2.2093442533
 2.0071985270        2.9769865924
 2.8866096232        4.1378097216
 4.1262350784        5.9064391727
 5.9244211841        8.7062439218
 8.6433443828       13.5244007250
13.0785495268       23.2515496819
21.5592271650       49.7545226217
45.7118338614      190.0528873616

Erange 15.8489 25.1189

 0.1732162492        1.4004968940
 0.5421693623        1.5831439837
 0.9824597614        1.9790033576
 1.5548177385        2.6541934611
 2.3422035365        3.7236108337
 3.4651351072        5.3795420165
 5.1078262325        7.9546974991
 7.5699331662       12.0817142053
11.3905202972       19.1809904930
17.7236693379       33.3279832468
29.8814434759       71.2262003206
64.2938771336      269.9060313657

Erange 25.1189 39.8107

 0.1872798507        1.5169742576
 0.5905014926        1.7500181527
 1.0854206804        2.2624194311
 1.7532172531        3.1553832889
 2.7093772498        4.6074907781
 4.1282041031        6.9214242594
 6.2843865572       10.6205737703
 9.6323358121       16.6782225013
14.9869260172       27.1955741561
24.0540642157       48.0070631391
41.6061199649      102.8049196471
91.0579838939      386.5595244231

Erange 39.8107 63.0957

 0.2005431091        1.6274388387
 0.6370759298        1.9164215005
 1.1882131903        2.5615485094
 1.9596143934        3.7116934868
 3.1080141107        5.6356187476
 4.8798810059        8.8002001764
 7.6781144945       14.0262936828
12.1876192174       22.8359064176
19.6488402798       38.4195421427
32.6228933481       69.2842499428
58.0768113011      149.2878855471
129.6233187971      557.3948408563

Erange 63.0957 100.0000

 0.2129723629        1.7315404517
 0.6816735477        2.0810818423
 1.2901205273        2.8736666008
 2.1725086187        4.3200268589
 3.5363611280        6.8109839414
 5.7219435274       11.0471570922
 9.3081177834       18.2960322422
15.3135513250       30.9431916628
25.6240110606       53.9282654511
44.1260843459       99.9115941464
81.1209689443      217.6935988299
185.1814120492      808.1158966124

Erange 100.0000 158.4893

 0.2245470036        1.8290254133
 0.7240993142        2.2426816783
 1.3903836822        3.1954619059
 2.3900535856        4.9752384138
 3.9914711962        8.1315573022
 6.6532201376       13.6846321104
11.1882815305       23.5471635145
