# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 20 points, for different energy ranges (Erange)
# Grid-points: 20.  N Eranges: 26

# Column1: Frequency    column2: weight

Erange 0.0000 39.8107

 0.1259109480        1.0128675296
 0.3861703090        1.0808186695
 0.6724232505        1.2221980468
 1.0043127205        1.4483179456
 1.4051203700        1.7771645475
 1.9036063148        2.2348934330
 2.5363257747        2.8581886743
 3.3506737777        3.6977951053
 4.4090140769        4.8237859184
 5.7944469634        6.3336557813
 7.6191667188        8.3654678679
10.0371978610       11.1209068882
13.2651939300       14.9095176408
17.6195574163       20.2421704270
23.5900215761       28.0491460570
32.0037169556       40.2481333250
44.4441799334       61.4475567777
64.5299314803      105.2396406746
103.0709621715      227.1442363764
214.2378885785      879.1417316771

Erange 39.8107 63.0957

 0.1269005661        1.0209189060
 0.3893436383        1.0905247630
 0.6784223260        1.2354440535
 1.0143054963        1.4674710893
 1.4209575480        1.8053760802
 1.9280640442        2.2764911488
 2.5734629819        2.9192110081
 3.4063474143        3.7867331377
 4.4916150233        4.9526246804
 5.9159470021        6.5193488091
 7.7966091574        8.6320568315
10.2948349674       11.5026606910
13.6376091270       15.4558538652
18.1564082014       21.0261510236
24.3637900705       29.1842857065
33.1239654661       41.9274301678
46.0884630118       64.0510985724
67.0263507212      109.6996665288
107.1915270177      236.6635224289
222.9766291753      915.4739377571

Erange 63.0957 100.0000

 0.1357641163        1.0931306031
 0.4179192274        1.1788166742
 0.7329685667        1.3583455500
 1.1062958971        1.6486589992
 1.5687627756        2.0769745575
 2.1595835272        2.6834584997
 2.9300528201        3.5254424165
 3.9485726796        4.6837156169
 5.3076024137        6.2718182500
 7.1334704522        8.4500187236
 9.6005791161       11.4472299126
12.9527334837       15.5977311656
17.5369957005       21.4086009685
23.8619706227       29.6980530991
32.7096962762       41.9153403904
45.3806595917       60.9794535925
64.3178404052       93.8233445225
95.0214541298      160.8682489123
153.8131079680      345.7450460078
322.4111988656     1330.4173461724

Erange 100.0000 158.4893

 0.1442641242        1.1625566529
 0.4455962130        1.2659127165
 0.7867389265        1.4838936355
 1.1990166749        1.8400398909
 1.7214055840        2.3725710049
 2.4047006583        3.1387350047
 3.3170752787        4.2217169463
 4.5517789824        5.7410335803
 6.2380239111        7.8679845970
 8.5566313768       10.8488705619
11.7629305743       15.0408968917
16.2211573457       20.9705794327
22.4583380664       29.4366484330
31.2545958197       41.7127745414
43.8107754357       60.0048373005
62.1055966131       88.6446141571
89.7947529229      137.7424356652
134.9745643082      236.9216058126
221.4521500231      507.7075717646
468.1988031284     1942.9876652214

Erange 158.4893 251.1886

 0.1523871193        1.2290753072
 0.4723138842        1.3515333610
 0.8395718529        1.6115542262
 1.2921447814        2.0408878057
 1.8783954111        2.6916678506
 2.6629395089        3.6432266355
 3.7347133228        5.0130359092
 5.2184529843        6.9734098100
 7.2913406554        9.7767190779
10.2074706737       13.7937179164
14.3343133417       19.5729418802
20.2081010303       27.9361115105
28.6205601839       40.1411564906
40.7620102201       58.1898508948
58.4790922054       85.4950894157
84.8055146240      128.5901182659
125.2688527965      202.3706984176
191.8905473212      350.0167137274
319.5839586228      748.7012397157
682.2286414937     2849.2547084331

Erange 251.1886 398.1072

 0.1601228422        1.2925883336
 0.4980176696        1.4353930735
 0.8913020409        1.7407096301
 1.3853146572        2.2502331460
 2.0391058152        3.0332406481
 2.9335059059        4.1968841771
 4.1825289365        5.9029343225
 5.9500467522        8.3938094523
 8.4746032449       12.0326809351
12.1067982116       17.3656106830
17.3662784853       25.2191754400
25.0299138018       36.8577222944
36.2713280073       54.2482983795
52.8904599258       80.5438096660
77.7186693777      121.0848617315
115.4249678330      185.8790092860
174.4394828747      297.1345838408
272.7651967250      518.1387632459
461.8753196156     1107.9000217962
996.7329397045     4192.5232373369

Erange 398.1072 630.9573

 0.1674639042        1.3530187944
 0.5226588237        1.5172034625
 0.9417618153        1.8706686579
 1.4781223077        2.4668713715
 2.2027777250        3.3957148864
 3.2152738381        4.7985741830
 4.6593895400        6.8930970282
 6.7467507396       10.0125429643
 9.7928982538       14.6678096853
14.2730420615       21.6457961259
20.9092134404       32.1671834057
30.8082477879       48.1442543585
45.6841530199       72.6159330075
68.2270972828      110.5266094571
102.7495145884      170.2779090243
156.4372036433      267.3993126925
242.2269071424      435.4332084994
387.3009768202      767.7560519275
667.9583966251     1643.9427511161
1459.1166921510     6186.6566786109

Erange 630.9573 1000.0000

 0.1744055755        1.4103098873
 0.5461945710        1.5966781900
 0.9907836836        2.0006811501
 1.5701323718        2.6893826585
 2.3685297636        3.7769652240
 3.5067861891        5.4459848539
 5.1634176361        7.9830055742
 7.6072911442       11.8363296706
