# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 28 points, for different energy ranges (Erange)
# Grid-points: 28.  N Eranges: 29

# Column1: Time    column2: weight

Erange 0.0000 1545.0

0.00019912749139307142        0.0005125044577801448                               
0.0010623606743332262         0.0012232237231645984                              
0.002671743519332409          0.00201318827111783                             
0.00513532276440788           0.0029437832219448537                            
0.008635195625198482          0.004103311596300065                             
0.013459847519256876          0.005618171589079525                             
0.020047630847673463          0.007663188401742024                             
0.029039389901087887          0.010469929287815255                             
0.04134031090156478           0.01433805703894519                            
0.05819756722342521           0.01965640843594298                            
0.0813050912035362            0.026936172517646257                           
0.11294734291964816           0.036855644579373535                            
0.156193889583069             0.05031748334107659                          
0.21515890144425773           0.06852207829804384                            
0.2953443526600425            0.09306268185731213                           
0.4040922882505582            0.12604985461633972                           
0.5511803231110346            0.1702755103243793                           
0.7496069714265129            0.22943160937864643                           
1.016632455219541             0.30840755489079047                          
1.3751727396754474            0.4137086894086003                           
1.8557042554346754            0.5540782272946391                           
2.4989586763196456            0.741497238773558                           
3.3599578911008456            0.9929644420040254                           
4.514593597566258             1.3340651862992305                          
6.071708534726409             1.8071782497597113                          
8.199087984832916             2.4938998954135005                          
11.19334614657497             3.5946345041711467                          
15.75712024734422             5.901304226915114                          

Erange 1545.0 2002.0

0.00015937273545708875        0.00041027809665924954                      
0.0008511031358508971         0.0009811723452880425                     
0.0021444475784000504         0.001620915236450962                     
0.004133806965295614          0.0023840944111134044                    
0.006979927658415096          0.0033503311465523967                    
0.010939953042854741          0.004634503191430588                    
0.016407375175241108          0.006395709602901231                    
0.02396000912675003           0.008844913900028784                   
0.034417229669099075          0.012257024616981905                    
0.04891406525328216           0.016993101307172367                   
0.06900316741446434           0.02353379728419698                   
0.09679560984224389           0.03252363542798268                   
0.13515199610246875           0.04482787026200198                   
0.18793838914519878           0.06160612640371776                   
0.2603666777263224            0.08440876245542936                  
0.3594458206099125            0.11530375228655552                  
