# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677	
#  Minimax grids with 34 points, for different energy ranges (Erange)	
# Grid-points: 34.  N Eranges: 8	
	
# Column1: Frequency    column2: weight	# Column3: Time    column4: weight
	
Erange 0.0000 9649.0	
	
0.13207515772844727          0.26576346823795405                            	3.284029233271286e-05              8.4538052355896e-05                           
0.405991108403864            0.2854396551016808                           	0.0001753443602861097              0.00020209318539166847                          
0.7100791180957539           0.32655197737161484                            	0.0004416382833363001              0.00033361605486797254                          
1.0674316993343833           0.39274601046287516                            	0.0008508530310865113              0.0004901319572083779                          
1.5058443663983385           0.48984881388427076                            	0.001435500605855746               0.0006876803644732437                         
2.0602382660689633           0.6263944482633245                            	0.0022474948219129297              0.0009493703556928221                          
2.7757484556313985           0.8144408041785135                            	0.003366173371324329               0.0013072005549165328                         
3.711806532052663            1.070757575293203                           	0.004907942966760921               0.0018035890085942577                         
4.947645044945255            1.4185065739762008                           	0.007037748206337417               0.0024937295684409103                         
6.589801356244469            1.889596892023973                           	0.009983831117905245               0.0034499397324379713                         
8.782420666111134            2.527980829463319                           	0.014057973412231587               0.00476826036404788                         
11.721478364771365           3.3942720864211324                            	0.019683414844193538               0.0065772141488150675                         
15.674500523350034           4.572231822130947                            	0.02743271515183254                0.009049030640506878                        
21.008017787373205           6.17790432405361                            	0.03807838736551588                0.012414126010019873                        
28.22593014264274            8.372526211327902                           	0.052660091008446035               0.016979951815415794                         
38.02331749903241            11.380831596076106                           	0.07257342975355677                0.02315561592334051                        
51.362195208386105           15.517105781570788                            	0.09968697353631621                0.031484041042937                        
69.57856923496088            21.222416096494825                           	0.13649612296545818                0.04268391545844468                        
94.53432041984598            29.118047224727174                           	0.18632500099011615                0.05770434764295233                        
128.83359338669658           40.08257127813093                            	0.2535908886542759                 0.07779602216248598                       
176.13249956696887           55.363655573112425                            	0.3441500984275648                 0.10460388481675117                       
241.58470670964914           76.74148031407067                            	0.46575004766668                   0.14028819232415718                     
332.48668514742263           106.77011264742791                            	0.6286204407593304                 0.18768361957484037                       
459.220222708152             149.13984256372788                          	0.8462483877785438                 0.2505110517811862                       
636.6470551378719            209.23574802895516                           	1.1364010501626234                 0.33366599536844854                       
886.216031469228             295.0380382861162                          	1.5224916494827863                 0.4436264870131247                       
1239.261662676278            418.6824781799572                           	2.035445381255887                  0.5890644515470643                      
1742.4871050895674           599.4725232857328                            	2.716346186249304                  0.7818386670916874                      
2467.9964867366607           870.5618605429147                            	3.620421040738206                  1.0387776399865274                      
3534.353825869125            1296.282804430787                           	4.823581438788581                  1.3852730956246349                      
5159.135288744986            2025.283801158086                           	6.434509907627798                  1.8635541689521873                      
7820.30687542924             3491.3059333297665                          	8.620766164346367                  2.5552790973254864                      
12915.999073999303           7474.317631875756                            	11.679090118639257                 3.661647560244881                       
27423.79759942945            28531.55532533201                           	16.31432816585662                  5.979097365202448                      
	
Erange 9649.0 15161.0 	Erange 9649.0 15161.0 
	
0.13599210879419024          0.2737475207928825                             	2.2094687262226044e-05             5.689777248462453e-05                           
0.41865733842571035          0.2952786790800227                             	0.00011816317101145329             0.0001364647878286462                          
0.734387462880487            0.34039675533342323                            	0.00029854362986100777             0.0002266959149215116                          
1.1087078459161832           0.4133708800225637                             	0.0005779739014899124              0.0003363227347021138                         
1.5726641901039529           0.5210568682574819                             	0.0009819112670486493              0.0004783149170860289                         
2.165714712843095            0.6735634934463747                            	0.0015516034173501654              0.0006715498663212837                         
2.9394684766946595           0.885293451950756                             	0.0023507187818878183              0.0009421913049362618                         
3.962695691901657            1.1764687033967232                            	0.0034732685500535195              0.0013250426248297155                         
5.328172864333448            1.575309481781747                            	0.00505334279364789                0.0018660179676916586                       
7.162136411063943            2.1211239192365996                            	0.007278229326144087               0.00262648268480602                        
9.637432516710518            2.8686862980856427                            	0.010406819589614869               0.003689465255982615                        
12.991909466518228           3.8944530711305823                             	0.014795161155330522               0.005167783411766887                        
17.55426383461847            5.305413278430533                            	0.020931286923915934               0.007214591621086576                        
23.78051806766095            7.2517322156689525                            	0.029482154546951286               0.010037222243044243                        
32.30571538388694            9.944880861346203                            	0.04135653654321724                0.013915457617770334                       
44.01747962910964            13.683733937475726                            	0.05778898092867048                0.01922566776214666                       
60.161119876385705           18.89229644939318                             	0.08045158704880996                0.02647264919678102                       
82.49044121504559            26.1744814467069                            	0.11160243319073283                0.03633153858613665                       
113.48508380736385           36.39402095230821                             	0.15428220578421106                0.049702887216291285                       
156.6651752262542            50.791640045991635                            	0.2125741178044686                 0.06778493328431712                      
217.04910217389076           71.15786208341221                             	0.2919468573365305                 0.09216841458681874                      
301.823097180824             100.0896105547862                           	0.3997065271731107                 0.12496114099205212                      
421.326779743335             141.37465650014659                           	0.545592087818525                  0.1689524368948172                     
590.5151234901978            200.57507440601208                            	0.7425611332686428                 0.22783243637559455                      
831.1508175496598            285.9310387743719                            	1.0078318394632224                 0.3064902609254688                      
1175.1475564541768           409.81030920422364                             	1.3642789958888877                 0.411433435566918                      
1669.8147612822702           591.1755952564811                             	1.8423416665523202                 0.5514107558972641                      
2386.5033267913464           860.2110797442753                             	2.48272174251732                   0.7384129467740507                    
3436.11940867051             1268.287932013144                           	3.34042303033154                   0.9894523508058952                    
5000.901252994878            1913.3787096119436                            	4.49133411535853                   1.3301301240547123                    
7412.324148921864            3017.958277485201                            	6.044309582675748                  1.8028378573543902                     
11389.23639096364            5225.5076295652025                            	8.167153038233048                  2.489168614889156                     
19014.75702535834            11175.8295539236                            	11.156471603344267                 3.5894672490279578                      
40656.29906587002            42493.69287150706                            	15.714736908294974                 5.895310588871672                      
	
Erange 15161.0 29986.0	Erange 15161.0 29986.0
	
0.14157456993085618          0.28514234691822854                            	1.2132019239369146e-05             3.126217597574477e-05                          
0.43680814305293825          0.30952051330129193                            	6.506554392462203e-05              7.540587737410632e-05                         
0.7695603918544728           0.36082397822605955                            	0.00016528151320033429             0.00012663926218204873                          
1.1691652838645754           0.444362626815503                              	0.00032271987439700723             0.00019110769108438634                          
1.6718472598074612           0.5687241475224296                             	0.0005549904907647636              0.00027820581560489743                         
2.3244228725405374           0.7466995085435535                             	0.0008912186380916402              0.000401742249839652                         
3.189182451328711            0.9967403173431321                             	0.0013769333304078336              0.0005808693019056328                         
4.350562914610808            1.3451190863662297                             	0.00207998381188429                0.0008413761481210849                       
5.924439306359134            1.8290618703769976                             	0.0030983248733590404              0.0012182358494751703                         
8.071200190010469            2.50126712171007                             	0.004571097441508312               0.001759637722089599                        
11.014281956686672           3.4364289749111423                             	0.006694456763746173               0.00253246317609668                        
15.066594360092068           4.740680380007788                              	0.009743704668641925               0.003629502407336348                        
20.668390911055305           6.565312747281522                              	0.0141037713916676                 0.00517906799440672                      
28.44180291698298            9.12679076184029                             	0.02031087384545962                0.0073579025027302025                       
39.26974002093017            12.73608082512356                             	0.029109193553804015               0.01040852585005309                        
54.41058484826287            17.84183040178123                             	0.04152772200656733                0.014662503493069159                       
75.66572466277076            25.094256075252144                             	0.05898411878582171                0.020571571811010672                       
105.6254757771726            35.44016472753401                             	0.08342465247911345                0.028749161300949972                       
148.03193881969935           50.26505189600494                              	0.11751221427114543                0.04002565337439286                       
208.3172512208018            71.60683168542646                             	0.1648782324800013                 0.05552176300115481                      
294.4065207981018            102.47931445154013                             	0.23045938623741916                0.07674587007131725                       
417.9228078083311            147.3651890657808                             	0.3209467823295079                 0.10572312939601615                      
596.0074159115596            212.9734421023194                             	0.44538447707509593                0.14516718239506418                       
854.090540688523             309.41511024819323                            	0.6159672665711226                 0.19871016099008434                      
1230.1481604663468           452.05559786284186                             	0.8491072823533072                 0.2712154487579484                      
1781.3282413698837           664.5034127165376                              	1.1668710896432313                 0.3692151806287191                      
2594.479625814838            983.6387878300005                             	1.5989474740844776                 0.5015525805409441                      
3803.497041610086            1468.7306525598128                             	2.1854242653839444                 0.6803982020135383                      
5619.84470555754             2220.152861116728                            	2.9809152725739025                 0.9230308920142081                      
8392.880364891958            3425.255864392015                             	4.061217864274067                  1.2553734442165063                     
12752.616596160462           5497.180237430633                              	5.535407811609172                  1.7200955901449364                     
20039.19394160478            9607.611108068526                             	7.571672639611632                  2.3987730554757754                     
34069.0659733131             20546.39934902344                            	10.466564989305379                 3.4906629653715                      
73716.52254207557            77652.80170951472                             	14.91952959384994                  5.780815874478559                     
	
Erange 29986.0 49196.0 	
	
0.14537972365704172          0.29292046810329686                            	7.845531705064765e-06              2.022742080929783e-05                         
0.44924937732846576          0.31938180850986814                            	4.217579566703759e-05              4.902127023830298e-05                         
0.7939069438582139           0.3752391615051481                             	0.0001076255406955941              8.308838409631613e-05                         
1.2115293253508186           0.4666272739869208                             	0.0002116704074840506              0.00012719755797047105                         
1.742274641402974            0.6035184960523118                             	0.0003678026352786526              0.00018877141608928316                         
2.438646450121879            0.8008736626361799                             	0.000598637239972256               0.00027875729779708194                        
3.3713296629150684           1.0804648717121432                             	0.000939800791185946               0.00041237481957666014                        
4.637276320033501            1.4736003482843745                             	0.0014447771966513766              0.0006104274314639044                         
6.371112976811227            2.025118651024602                             	0.002191627535252642               0.0009017824485847016                        
8.761403563453904            2.7992210995810174                             	0.0032927972200630018              0.0013270526990110587                         
12.07400661126176            3.8880019577883864                             	0.004909216880554122               0.0019435429478184875                        
16.685826322050936           5.423967095382597                              	0.007270144108734435               0.0028318806888766317                        
23.133850907384492           7.598483671540265                              	0.010700753084513917               0.004105011117474572                        
32.18677637709266            10.689098259656856                             	0.015660261119126325               0.0059204430431561185                        
44.95016073622998            15.100189404799776                             	0.02279439226673758                0.008496895591229079                       
63.02161541345043            21.423785021626927                             	0.033007300151380946               0.012136858469163465                        
88.72107581753308            30.53105704736921                             	0.04755981744820865                0.017257067102487582                       
125.43437293871429           43.71077401338752                              	0.06820320985515761                0.02442954195917895                       
178.12881222660047           62.88009577250318                              	0.09736066855556012                0.03443669419909579                       
254.13153300040636           90.90758923336087                              	0.13837281589809153                0.04834513188831433                       
364.31201181146474           132.11161052090677                             	0.19582885861759528                0.06760433082481605                       
524.8905530158796            193.0349397957077                             	0.2760121868265214                 0.09417845588835595                      
760.2239712046822            283.65875554453504                             	0.3874989458973457                 0.13072271761835513                      
