# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677
#  Minimax grids with 16 points, for different energy ranges (Erange)
# Grid-points: 16.  N Eranges: 24

# Column1: Time    column2: weight

Erange 0.0000 15.8489

0.0124933560        0.0321225886
0.0663634793        0.0760016922
0.1655401211        0.1230393637
0.3142122162        0.1754101491
0.5190964445        0.2360231402
0.7903036143        0.3088188186
1.1425620525        0.3991595234
1.5968455073        0.5142450103
2.1824392199        0.6635919449
2.9396026076        0.8598082538
3.9233621214        1.1202030710
5.2097574852        1.4703548621
6.9076901986        1.9525233215
9.1850123785        2.6485569232
12.3393159715        3.7608140990
17.0792800750        6.0921817077

Erange 15.8489 25.1189

0.0091597849        0.0235609197
0.0487412457        0.0559413134
0.1219811140        0.0911632628
0.2326929954        0.1312859572
0.3871221912        0.1791533047
0.5948850331        0.2387270434
0.8702777454        0.3154669497
1.2339548618        0.4166893847
1.7149841112        0.5519940219
2.3534803627        0.7340636247
3.2044326031        0.9803606386
4.3440541494        1.3167257513
5.8816849056        1.7856400770
7.9856357540        2.4686440242
10.9528456420        3.5657298035
15.4852730911        5.8667042716

Erange 25.1189 39.8107

0.0073225601        0.0188412226
0.0390193033        0.0448605494
0.0979067845        0.0734930731
0.1875228760        0.1067040806
0.3137542184        0.1472715919
0.4858136923        0.1991328541
0.7175823470        0.2677423026
1.0292869364        0.3603915702
1.4495317958        0.4866411696
2.0179516118        0.6591954549
2.7891432547        0.8956803685
3.8391679753        1.2222440383
5.2775471129        1.6816930581
7.2729818548        2.3555756876
10.1223022282        3.4425924383
14.5237447268        5.7245565688

Erange 39.8107 63.0957

0.0047039032        0.0121119422
0.0251434614        0.0290189533
0.0634624580        0.0481093109
0.1226699482        0.0711508422
0.2079381851        0.1007542600
0.3276138429        0.1407132097
0.4945540694        0.1962985762
0.7277422313        0.2745528922
1.0543005913        0.3848395792
1.5122947031        0.5399170454
2.1549896727        0.7578406304
3.0577259787        1.0655310965
4.3301629302        1.5066799629
6.1418596933        2.1632416781
8.7900619662        3.2321339881
12.9677092977        5.4820672068

Erange 63.0957 100.0000

0.0035335098        0.0091030846
0.0189307470        0.0219107095
0.0479913291        0.0366477218
0.0934063315        0.0549529774
0.1599009759        0.0793083736
0.2552377206        0.1133547294
0.3915075062        0.1621489723
0.5866925246        0.2324921040
0.8667062213        0.3335959220
1.2683475597        0.4782687637
1.8437892244        0.6848674256
2.6677035867        0.9808514235
3.8496992950        1.4105774826
5.5598919049        2.0564635512
8.0960961548        3.1147098105
12.1489357833        5.3470752640

Erange 100.0000 158.4893

0.0020125661        0.0051910050
0.0108393026        0.0126277613
0.0277607373        0.0215606407
0.0549153549        0.0333846640
0.0962139068        0.0502953702
0.1582685859        0.0755353809
0.2515517622        0.1136336810
0.3918898941        0.1708798850
0.6026248580        0.2561954432
0.9178653622        0.3824592770
1.3873828979        0.5685478193
2.0842135217        0.8429296732
3.1175469237        1.2513442212
4.6584561429        1.8774322384
7.0062440251        2.9167470741
10.8487716248        5.1200362418

Erange 158.4893 251.1886

0.0014432115        0.0037255564
0.0078015318        0.0091302987
0.0201254698        0.0158171136
0.0402748736        0.0250466904
0.0717270043        0.0388327073
0.1204378422        0.0601510241
0.1959225087        0.0932081507
0.3127387452        0.1440089851
0.4927264320        0.2213025040
0.7683981195        0.3379614199
1.1880336160        0.5130898999
1.8235512817        0.7756846840
2.7837030596        1.1723016787
4.2399974600        1.7874363147
6.4927254011        2.8166376845
10.2289376130        5.0054814386

Erange 251.1886 398.1072

0.0011386076        0.0029411704
0.0061729978        0.0072506380
0.0160169098        0.0127075061
0.0323524323        0.0204817457
0.0583702583        0.0324552336
0.0995777894        0.0514120457
0.1648315576        0.0813399962
0.2678221909        0.1280531259
0.4293602682        0.2001715995
0.6808451715        0.3105368093
1.0694838116        0.4783756937
1.6663482147        0.7330239928
2.5798010053        1.1216059740
3.9815934667        1.7292644545
6.1727341131        2.7516812909
9.8399722788        4.9312407185

Erange 398.1072 630.9573

0.0007164949        0.0018535144
0.0039101864        0.0046303912
0.0102801072        0.0083305479
0.0212070465        0.0139590364
0.0393748785        0.0231433556
0.0694755195        0.0383107457
0.1191707702        0.0630622861
0.2005851272        0.1028633169
0.3326494626        0.1660632136
0.5446788599        0.2653813786
0.8817981251        0.4201953469
1.4133459061        0.6604101631
2.2467669669        1.0342079766
3.5541234905        1.6280489634
5.6378062889        2.6381353298
9.1844824112        4.8016213244

Erange 630.9573 1000.0000

0.0005327914        0.0013797889
0.0029220141        0.0034813297
0.0077588420        0.0063868138
0.0162599926        0.0110042751
0.0308208828        0.0188060416
0.0556612598        0.0320129267
0.0977557048        0.0540079284
0.1683264856        0.0900461102
0.2852019801        0.1482913872
0.4764397277        0.2413494780
0.7858625488        0.3886392367
1.2816696416        0.6203667159
2.0706307332        0.9853451316
3.3248991112        1.5708916426
5.3477122672        2.5736841410
8.8259523751        4.7281271127

Erange 1000.0000 1584.8932

0.0002992241        0.0007768847
0.0016602631        0.0020065660
0.0045138170        0.0038523102
0.0098111413        0.0070518785
0.0194616438        0.0128051536
0.0368864681        0.0229904356
0.0679045674        0.0406223196
0.1222041351        0.0705684432
0.2156923865        0.1206153238
0.3741677069        0.2030907674
0.6390292853        0.3373950011
1.0762526605        0.5541903302
1.7911592740        0.9034013814
2.9558684609        1.4739942115
4.8751392319        2.4637954099
8.2366778448        4.6029358609

Erange 1584.8932 2511.8864

0.0002134705        0.0005552467
0.0011944382        0.0014584384
0.0033030929        0.0028902828
0.0073633575        0.0055003743
0.0150440188        0.0103516892
0.0293726979        0.0191571446
0.0555989092        0.0347438858
0.1026407267        0.0617661025
0.1854143264        0.1077870257
0.3285173216        0.1849494101
0.5720171780        0.3125950217
0.9806147524        0.5215821469
1.6587347439        0.8624104032
2.7783675668        1.4249765740
4.6450720342        2.4078703105
7.9472026836        4.5392702167

Erange 2511.8864 3981.0717

0.0001680126        0.0004376511
0.0009465405        0.0011653667
0.0026538938        0.0023680456
0.0060343511        0.0046379834
0.0126044257        0.0089518483
0.0251439404        0.0169190097
0.0485422221        0.0312441752
0.0912233303        0.0564366963
0.1674571159        0.0999033373
0.3010446185        0.1736501546
0.5311533324        0.2969613931
0.9216025900        0.5008065846
1.5761719146        0.8360592730
2.6667207964        1.3932536792
4.4993322324        2.3715445630
7.7628668850        4.4979306792
 
Erange 3981.0717 6309.5734
 
0.0001055373        0.0002758456
0.0006041149        0.0007580597
0.0017480809        0.0016273892
0.0041489235        0.0033773575
0.0090677748        0.0068416530
0.0188708737        0.0134560408
0.0378405484        0.0257094630
0.0735534744        0.0478470046
0.1391499702        0.0869809853
0.2570126197        0.1548469095
0.4646737064        0.2705890952
0.8243107747        0.4653363337
1.4384517779        0.7906106418
2.4786279831        1.3381198016
4.2518384036        2.3081433515
7.4479905528        4.4257998199
 
Erange 6309.5734 10000.0000

0.0000785427        0.0002058283
0.0004551925        0.0005795163
0.0013488675        0.0012939465
0.0032998006        0.0027884026
0.0074321615        0.0058211433
0.0158908890        0.0117334511
0.0326288715        0.0228910201
0.0647538076        0.0433834863
0.1247687660        0.0801450248
0.2342408160        0.1447399726
0.4297430785        0.2562100884
0.7724665951        0.4457521693
1.3641581107        0.7652495837
2.3761018937        1.3071066983
4.1158110002        2.2723201246
7.2738777918        4.3850533669

Erange 10000.0000 15848.9319

0.0000443803        0.0001170612
0.0002652186        0.0003495079
0.0008308553        0.0008496206
0.0021681420        0.0019698121
0.0051848945        0.0043508557
0.0116752594        0.0091793712
0.0250600751        0.0186109193
